TAZ,yosh,in_jerusalem_metropolin,jerusalem_city,sector,hh_total,pop,age0_4,age5_9,age10_14,age15_19,age20_24,age25_29,age30_34,age35_39,age40_44,age45_49,age50_54,age55_59,age60_64,age65_69,age70_74,age75up,emp_tot,indus,com_hotel,business,public,education,agri,student,univ,UO_Hi_Ed,pop_emp_employed
7811,1,1,0,Jewish,1440,5762,670,790,691,538,470,327,354,351,364,333,224,208,182,127,58,75,939.1371429,0,420.768,140.256,140.256,237.8571429,0,1665,0,0,2306.9494
7822,1,1,0,Jewish,1201.308269,4805.811889,544.4870682,651.8023643,678.0800131,490.3058968,361.7223638,206.1105952,268.8658878,362.0823597,306.3082435,272.5011859,225.2564785,160.0117711,118.696475,68.54588578,50.48000301,40.5552976,857.9931612,0,321.7704197,175.511138,87.75556902,272.9560344,0,1910.692241,0,0,1885.598087
7711,1,1,0,Jewish,519.3554481,2321.894966,264.0696392,206.7004116,168.9705331,155.1798131,235.1331925,199.5659735,173.1614139,139.7144119,75.63517116,98.37633818,131.0085768,112.0694184,125.5870844,107.4725117,70.95337949,58.29709747,282.4177866,0,139.1093568,50.58522064,63.23152581,29.49168336,0,206.4417835,0,0,1048.491252
7712,1,1,0,Jewish,411.4006076,2373.603944,320.2123237,260.3229887,227.5192826,174.2508791,227.8202341,195.3174794,163.1156762,121.5843785,89.98447818,96.90636112,86.97496386,107.4396612,93.59589536,89.68352675,53.5693549,65.30646075,227.7988665,0,110.1936527,40.07041918,50.08802397,27.4467706,0,192.1273942,0,0,956.3197927
8711,0,1,0,Palestinian,0,19365.36965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7911,0,1,0,Palestinian,0,31438.22357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8882,1,1,0,Jewish,2829,12175,2290,2079,1556,1084,914,889,876,817,486,365,207,161,162,126,87,76,2012.268286,0,456.2216,342.1662,342.1662,871.7142857,0,5710,0,754,3840.0222
8881,1,1,0,Jewish,153,765,123,88,126,80,64,69,63,18,14,34,18,24,16,18,5,5,133.7681429,0,29.8044,22.3533,22.3533,59.25714286,0,414.8,0,0,257.7988
8693,1,1,0,Jewish,551,2295,269,303,334,369,133,126,118,166,86,73,64,67,67,53,44,23,395.2512857,0,107.3348,107.3348,53.6674,126.9142857,0,888.4,0,0,790.6836
8742,0,1,0,Palestinian,0,12610.97044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8741,0,0,0,Palestinian,0,27938.48623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7965,0,1,0,Palestinian,0,4891.570341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7966,0,1,0,Palestinian,0,3874.06435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8862,1,1,0,Jewish,445,1174,140,155,107,66,74,78,86,80,44,38,50,65,54,60,49,28,285.1047143,0,85.1276,63.8457,63.8457,72.28571429,0,457,0,46,487.5745
7826,1,1,0,Jewish,267,1081,154,131,103,76,58,77,119,89,71,57,38,39,47,22,0,0,195.8004286,0,65.0145,26.0058,13.0029,65.77142857,26.0058,460.4,0,0,505.6506
8951,0,1,0,Palestinian,0,6947.40424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8952,0,0,0,Palestinian,0,63147.65753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8871,1,0,0,Jewish,1663,7828,1557,1426,1029,554,684,580,562,446,320,172,114,125,97,71,50,41,1412.060185,149.996,299.992,149.996,149.996,662.0801853,0,4284.561297,0,654,2372.874
8974,0,0,0,Palestinian,0,34829.09959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8973,0,0,0,Palestinian,0,72389.59094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8971,0,0,0,Palestinian,0,36729.90816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8843,1,0,0,Jewish,916,4033,642,598,487,297,362,287,288,246,146,168,161,99,101,74,59,18,713.6039443,0,177.0732,177.0732,88.5366,270.9209443,0,1840.44661,0,93,1471.8473
8963,0,0,0,Palestinian,0,92721.94885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8964,0,0,0,Palestinian,0,28045.52013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8965,0,0,0,Palestinian,0,57447.87577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8851,1,0,0,Jewish,157,690,103,102,64,34,31,40,67,53,35,28,28,19,36,29,21,0,114.7517463,0,30.5836,30.5836,15.2918,38.29274628,0,268.049224,0,0,292.6133
8852,1,0,0,Jewish,656,2825,374,473,332,155,174,121,189,263,212,127,128,97,93,46,31,10,497.4548786,191.6832,63.8944,31.9472,31.9472,177.9828786,0,1245.88015,0,0,1168.258
8842,1,0,0,Jewish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,250,50,150,50,0,0,0,0,0,0
8943,0,0,0,Palestinian,0,21867.33403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8814,1,0,0,Jewish,2546,9581,1272,1145,830,809,847,633,753,650,452,339,291,344,410,351,246,209,1773.289857,695.7282,231.9094,115.9547,115.9547,613.7428571,0,3974.2,0,501,3844.8242
8961,0,0,0,Palestinian,0,10900.34095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8922,0,0,0,Palestinian,0,21133.22111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8924,0,0,0,Palestinian,0,9596.110718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8931,0,0,0,Palestinian,0,13172.60087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8810,1,0,0,Jewish,1634,7353,1471,1486,963,502,311,357,666,677,433,195,97,81,74,26,10,4,1357.828513,0,297.2648,297.2648,148.6324,614.6665134,0,4162.665594,0,138,2428.6115
8932,0,0,0,Palestinian,0,27010.60205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8944,0,0,0,Palestinian,0,54064.34284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
