code,year,citycode,population,employment
2040_JTMT,2040,3780,92759.81362,12774.40729594
2040_JTMT,2040,2610,348838.29555900017,64354.17152777398
2040_JTMT,2040,3797,110672.17076800001,14877.136942199999
2040_JTMT,2040,3570,33130.981119000004,17001.9486833
2040_JTMT,2040,1200,196251.54586400004,59852.1099314
2045_JTMT,2045,3000,1808048.043373299,590377.9049726012
2045_JTMT,2045,0,4583769.8576418,131464.17343438903
2045_JTMT,2045,3616,74714.8212261,15578.149506700001
2045_JTMT,2045,3780,88131.323901,13998.094302239999
2045_JTMT,2045,2610,359514.73983800004,76346.17902855999
2045_JTMT,2045,3797,107153.369433,15065.4861932
2045_JTMT,2045,3570,36458.950683999996,19249.248818800002
2045_JTMT,2045,1200,193220.18950099996,66755.3924214
2050_JTMT,2050,3000,1888283.0402026,625467.059430431
2050_JTMT,2050,0,4881560.971243902,144276.63170072806
2050_JTMT,2050,3616,82189.91030919999,17154.94905524
2050_JTMT,2050,3780,89299.730275,14628.722230939999
2050_JTMT,2050,2610,376901.77276,84949.70948136001
2050_JTMT,2050,3797,108134.74095400001,15312.145889700001
2050_JTMT,2050,3570,40091.327067,20709.8143411
2050_JTMT,2050,1200,194010.97900499997,71918.9938344
