TAZ,car,hh,population,gil0,gil1,gil2,gil3,gil4,gil5,working,industry,other,service,workplace,LenOrig1,superZone,IntExt,schoolage,pensioner,Students,hh/pop
1906,2525.1,1799.6,7438.1,904.3,1091.3,826.1,1148.7,2653.9,813.7,4766.7,397.6,163.8,511.9,1073.1,10.3,19,2,2111.65,310,135.67,0.241950446
1907,3290.6,2753.5,10249.1,1503.8,1690.2,1124.7,1637.5,3315.3,977.8,6308.4,824.4,131.1,459.5,1415,11.4,19,2,2570,250,84,0.268656334
1908,1480.8,956.7,3507.8,376.4,457.8,351,534.1,1310,478.5,2118.3,189.5,127.2,273.8,590.5,11.5,19,2,1010,190,96.33,0.272727273
1909,4043,2757.1,9577.2,1027.6,1249.9,958.4,1458.3,3576.8,1306.3,5915.1,3677.5,1579.4,3295,8552,11.2,19,2,2160,1080,263.02,0.287882353
1910,1117.5,601.6,2647.1,284,345.5,264.9,403.1,988.6,361.1,1552,26.1,24.2,31.8,82.1,10.8,19,2,610,90,56.63,0.227273196
1911,1722.2,1048.5,4403.3,540.4,640.3,470,677.8,1584.3,490.5,2665.4,176.6,123.4,240.2,540.2,11.1,19,2,1479.13,232.17,157.3,0.238114176
1912,2382.2,1415.1,6085.4,833.7,955.1,659.6,962.1,2063.8,611,3468.8,192.3,241.7,511.7,945.6,12,19,2,1626.83,172,120.04,0.232542691
1913,2085.3,1195.8,5447.6,740.1,850.4,590.5,835.9,1840.2,590.5,2765.4,177,158.8,482.5,818.3,12.4,19,2,1011.5,203,129.85,0.219512837
1914,2575.2,1681.9,6727.9,914.1,1050.2,729.3,1032.3,2272.7,729.3,3415.1,212.9,191.1,580.5,984.5,12.6,19,2,982.6,197.2,126.14,0.249988706
1915,0,0,0,0,0,0,0,0,0,0,870.1,332.6,806.8,2009.3,11.7,19,2,0,0,0,0
1916,4121,2402.2,10810.1,1505.8,1731.4,1204.2,1638.8,3601.2,1128.6,6619.8,519.7,198.7,481.9,1200.2,10.2,19,2,2805.65,336.52,1088,0.222218133
1917,4961,2965,13012.8,1812.6,2084.3,1449.6,1972.8,4335,1358.5,7969.1,253.2,96.8,234.8,584.7,11.7,19,2,3078.42,369.24,1088,0.227856424
1918,1893.6,1458,5588.7,711.4,857.9,648.7,865.9,1943.7,561.1,3446.4,344.3,80.1,281.8,706.3,11.7,19,2,1709.4,193.2,99.96,0.260890743
1919,1883.2,1389.6,5558.4,707.5,853.2,645.1,861.2,1933.2,558.1,3427.5,269,62.6,220.2,551.8,14.5,19,2,1343.1,151.8,78.54,0.250007409
1920,0,0,0,0,0,0,0,0,0,0,150.3,61.9,193.5,405.6,12.5,19,2,0,0,0,0
