TAZ,car,hh,population,gil0,gil1,gil2,gil3,gil4,gil5,working,industry,other,service,workplace,LenOrig1,superZone,IntExt
238,674.1,1454.6,5287.1,550.8,693.7,561.2,795.3,2022.3,663.8,3038.4,236.2,89.3,243.4,568.9,11.4,2,2
239,3034.8,1459,5946.5,633.1,775.5,601.4,960.9,2151.6,823.9,3196.6,813.6,241.1,707,1761.8,11.5,2,2
240,5514.8,2702.2,10488.1,1116.6,1367.8,1060.8,1694.8,3794.8,1453.2,5809,1105.4,327.5,960.6,2393.5,11.1,2,2
241,4252.9,2529.1,9177.8,977.1,1196.9,928.3,1483.1,3320.7,1271.6,0,1073.9,318.2,933.2,2325.3,11,2,2
242,5855.9,2325.5,10792.3,840.6,1165.5,1070,1851.9,4325.8,1538.5,7082.8,859.4,254.6,746.8,1860.9,11.7,2,2
243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4,2,2
244,377.1,813.7,2957.5,433.3,482.5,315.2,374.2,875.2,477.1,1699.6,245.6,92.8,253.1,591.5,14.4,2,2
245,0,0,0,0,0,0,0,0,0,0,561.9,234.3,643.8,1440,12.5,2,2
301,6369.4,3210.1,15387.1,2931.3,3138.9,1880.7,1846.9,4353.5,1235.8,7671,177.3,315.5,1693.2,2186,10.8,3,2
302,0,0,0,0,0,0,0,0,0,0,5475.4,232.1,235.1,5942.5,10.6,3,2
303,1560.9,1541.4,3477.3,469.7,517.3,330,403.5,1063.8,693.1,1967.1,633.3,382.9,1070.3,2086.4,10.6,3,2
304,1607,1257.8,3580,483.6,532.5,339.7,415.4,1095.2,713.5,2217.6,143.3,49.2,135.8,328.3,10.5,3,2
305,3478.1,1483.5,7064.7,1345.9,1441.1,863.5,848,1998.8,567.4,3151.8,263,267.6,1382.9,1913.4,10.4,3,2
306,2745.3,1267.5,4852.8,924.5,989.9,593.1,582.5,1373,389.7,3321.4,3062.9,74.5,641.4,3778.8,10.4,3,2
307,1721.5,921.1,3048.8,580.8,621.9,372.6,365.9,862.6,244.9,1707.2,450.9,100.5,303.3,854.7,10.4,3,2
308,0,0,0,0,0,0,0,0,0,0,2126.4,474,1430.7,4031,10.3,3,2
309,1658.2,694,2625,500.1,535.5,320.8,315.1,742.7,210.8,1866.3,29.9,30.5,405.9,466.2,10.3,3,2
310,6055.3,2632.5,11437.6,2178.9,2333.2,1398,1372.8,3236.1,918.6,7001.4,3069.9,74.6,642.9,3787.5,11.9,3,2
311,1131.6,495.1,2641.4,450.4,469.3,263,322.3,818.6,317.8,1211,325.4,72.5,218.9,616.8,11.3,3,2
312,1302.1,711.9,2625,500.1,535.5,320.8,315.1,742.7,210.8,1507.8,468.4,104.4,315.2,888,11,3,2
313,3491.8,1960.2,8330.3,986.8,1167,853.6,1293.4,2983.6,1045.9,4796,590.3,306.9,565,1462.1,10.9,3,2
314,2552.1,1614.4,5935.3,730.2,845.9,596.3,937.4,2074.3,751.2,3565.8,128.3,183.1,464.1,775.4,10.3,3,2
315,5998.6,2740.9,14337.1,1632.9,1985.5,1521.8,2242.8,5154.1,1800.1,7903.8,692.9,671.3,1550.8,2915.1,11.4,3,2
316,3140.4,1653.5,8269.6,1097.8,1265,883.3,1299.1,2760.6,963.9,4431.5,124.1,192.4,648.5,965.1,11.5,3,2
317,3188.2,1526,6848.2,1206.8,1320.2,830.2,925.8,1871.4,693.8,4561.2,326.9,54.6,419,800.4,11.2,3,2
318,4481.3,2074.2,7860.2,576.3,789.1,713.8,1242.7,3134.8,1403.5,4589.3,567,306.8,1076.5,1950.3,10.8,3,2
319,0,0,0,0,0,0,0,0,0,0,5464.4,231.6,234.6,5930.5,11.1,3,2
320,0,0,0,0,0,0,0,0,0,0,6605.7,280,283.6,7169.2,12,3,2
321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.4,3,2
322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6,3,2
323,2308.7,1714.4,5143.2,694.7,765.1,488.1,596.8,1573.5,1025.1,3128.4,444.9,269,751.8,1465.6,11.7,3,2
324,1691,1642.1,3767.1,508.8,560.4,357.5,437.1,1152.5,750.8,2285.1,90.3,54.6,152.6,297.4,10.2,3,2
325,2201.8,1691.4,4905,662.5,729.6,465.5,569.1,1500.6,977.6,3204.1,149.7,90.5,253,493.3,11.7,3,2
326,1117.8,772.8,2490.2,336.4,370.4,236.3,288.9,761.8,496.3,1621.5,156,94.3,263.6,513.8,11.7,3,2
327,1965.1,1293.4,4377.7,591.3,651.2,415.4,507.9,1339.3,872.5,2771.9,954.8,577.3,1613.5,3145.5,14.5,3,2
328,2188,1754.8,4874.4,658.4,725.1,462.6,565.6,1491.2,971.5,3238.8,413.4,249.9,698.6,1361.9,12.5,3,2
329,970.9,658.3,2163,292.2,321.7,205.3,251,661.7,431.1,1390.9,36.8,22.3,62.2,121.3,12.6,3,2
330,1438.4,915.5,3204.4,432.8,476.7,304.1,371.8,980.3,638.7,2112.6,73.1,44.2,123.5,240.7,12.4,3,2
331,4481.2,3839.6,9983,1348.5,1485,947.3,1158.3,3054.1,1989.7,5266.2,276.3,167,466.9,910.1,10.4,3,2
332,2509.3,1825.3,5590,755.1,831.5,530.5,648.6,1710.2,1114.2,3225.6,186.7,112.8,315.4,614.9,10.2,3,2
333,1147.2,2534.3,9149,1235.8,1361,868.2,1061.5,2799,1823.5,5351,1081.9,193.5,554.4,1829.8,10.2,3,2
334,3906.1,2562.9,9319.7,1104,1305.5,955,1447,3337.9,1170.1,5074.5,735.7,382.5,704.2,1822.3,10.3,3,2
335,2641,1867,6301.5,746.5,882.7,645.7,978.4,2256.9,791.2,3627.4,536.7,279.1,513.8,1329.4,10.3,3,2
336,4794.4,3032.6,11149.4,1371.8,1588.9,1120.2,1760.8,3896.6,1411,6698.9,285.5,407.3,1032.7,1725.4,10.2,3,2
337,1579.6,891.2,4157.6,551.9,636,444.1,653.1,1387.9,484.6,2229.1,72.8,113,380.8,566.6,10.2,3,2
338,2837.4,1600.7,7470,991.6,1142.6,797.9,1173.5,2493.7,870.7,4004,112,173.7,585.3,871,10.2,3,2
401,4286.1,2161.3,8981.5,1017.8,1235.5,944.3,1442.4,3240.7,1100.7,5213.6,144.4,21.3,673.3,839,10.2,4,1
402,3649.1,2480.1,12888.7,1578.4,1820.5,1273.5,2016.2,4672,1528,4874.1,388.7,126,411.1,925.9,10.2,4,1
403,7119.2,4286.2,15128.1,1723,2044.7,1504.9,2346.3,5609.9,1899.4,8160.9,217.8,133.6,351.7,702.9,10.2,4,1
404,3883.1,2309.9,8820.3,944.1,1139.4,862.7,1351.8,3361.9,1160.4,4642.2,614.5,219.4,1021,1855.6,10.2,4,1
405,7405.5,3790,15413.7,1464.8,1837,1476.8,2352.1,6085.7,2197.3,9590,225.1,215.3,633.6,1073.9,10.3,4,1
406,6164.6,3155,12830.9,1219.4,1529.2,1229.3,1958,5066,1829.1,7983,697,343.5,1045.4,2085.9,10.5,4,1
407,4265.8,2635.7,8877.7,843.7,1058,850.6,1354.7,3505.1,1265.6,5524.1,388.7,936.8,1425.6,2751.2,11.8,4,1
408,2052.4,1025.2,4272.3,406,509.2,409.3,651.9,1686.8,609,2657.8,446,514.3,829.6,1789.7,10.7,4,1
409,2399.5,1387.2,4994,474.6,595.2,478.5,762.1,1971.8,711.9,3107.3,536.8,441.4,839.6,1817.8,10.5,4,1
410,820.2,375,1312.5,250,267.7,160.4,157.5,371.4,105.4,835.8,141.8,0,0,141.8,10.5,4,1
411,3588.6,2439,6050.2,740.9,854.6,597.8,946.4,2193.2,717.3,4793.2,254.8,82.6,269.5,607,10.4,4,1
412,2758.2,1635.6,5860.4,667.4,792.1,583,908.9,2173.2,735.8,3161.7,222.7,136.6,359.7,718.8,10.5,4,1
413,2812.1,1629.6,5975.6,680.6,807.6,594.4,926.8,2215.9,750.3,3223.5,862.9,529.2,1393.6,2785.4,10.4,4,1
414,2380.5,1405.1,5058.5,576.1,683.7,503.2,784.6,1875.8,635.1,2728.8,260.4,159.7,420.6,840.6,10.4,4,1
415,7861.6,4273.4,16705.6,1902.6,2257.9,1661.8,2591,6194.9,2097.5,9011.9,705.5,432.7,1139.5,2277.4,10.8,4,1
416,112,242.7,931.5,106.1,125.9,92.7,144.5,345.4,117,527.6,388.9,238.5,628.1,1255.5,10.4,4,1
417,2121.6,1127.1,4507.5,513.4,609.2,448.4,699.1,1671.5,566,2034,512.1,314,827,1652.9,10.7,4,1
418,1955.3,1142,4440.4,475.3,573.6,434.3,680.6,1692.5,584.2,2337.5,309.4,110.4,514,934.2,10.3,4,1
419,2971.7,1687.4,6749.6,722.4,871.9,660.2,1034.5,2572.7,888,3552.6,470.1,167.8,781.1,1419.6,10.3,4,1
420,0,0,0,0,0,0,0,0,0,0,14.8,14.1,41.6,70.5,11.9,4,1
