TAZ,car,hh,population,gil0,gil1,gil2,gil3,gil4,gil5,working,industry,other,service,workplace,LenOrig1,superZone,IntExt
1732,1611.9,885.6,2833.9,358.5,397.7,257.6,342,814.1,664,1893.2,86.1,54,255.8,395.9,10.5,17,1
1733,802.7,547.3,1411.3,178.5,198,128.3,170.3,405.4,330.7,814.1,75.4,47.3,224,346.7,12.3,17,1
1734,955,651.1,1679.1,212.4,235.6,152.6,202.7,482.3,393.4,968.5,89.7,56.2,266.5,412.5,12.7,17,1
1735,955,651.1,1679.1,212.4,235.6,152.6,202.7,482.3,393.4,968.5,89.7,56.2,266.5,412.5,12.1,17,1
1736,1529.5,1180.6,2689.2,340.2,377.4,244.4,324.6,772.5,630.1,1473.7,81.7,51.2,242.8,375.7,11.7,17,1
1737,791.4,419.9,1391.4,176,195.3,126.5,167.9,399.7,326,821.2,113.6,71.2,337.4,522.1,11.3,17,1
1738,791.4,419.9,1391.4,176,195.3,126.5,167.9,399.7,326,821.2,148.9,93.3,442.3,684.5,10.9,17,1
1739,543.3,361.4,955.3,120.8,134,86.8,115.3,274.4,223.8,495.8,59.2,37.1,175.7,271.9,11,17,1
1740,271.7,180.7,477.6,60.4,67,43.4,57.6,137.2,111.9,247.9,103.4,64.8,307.1,475.3,10.7,17,1
1741,271.7,180.7,477.6,60.4,67,43.4,57.6,137.2,111.9,247.9,0,0,0,0,10.7,17,1
1742,271.7,180.7,477.6,60.4,67,43.4,57.6,137.2,111.9,247.9,59.2,37.1,175.7,271.9,10.4,17,1
1743,761.4,506.5,1338.6,169.3,187.8,121.7,161.6,384.5,313.7,694.7,165.8,103.9,492.4,762.1,11.5,17,1
1744,526.6,388.2,925.8,117.1,129.9,84.2,111.7,266,216.9,477.5,58.7,36.8,174.2,269.6,11.2,17,1
1745,789.9,582.4,1388.7,175.7,194.9,126.2,167.6,398.9,325.4,683.4,58.7,36.8,174.2,269.6,11.2,17,1
1746,526.6,388.2,925.8,117.1,129.9,84.2,111.7,266,216.9,477.5,58.7,36.8,174.2,269.6,10.8,17,1
