Year,Scenario,TAZ,car,hh,population,gil0,gil1,gil2,gil3,gil4,gil5,working,industry,other,service,workplace,LenOrig1,superZone,IntExt,schoolage,pensioner,Students
2017,2017,1222,0,0,0,0,0,0,0,0,0,0,1659.8,0,0,1659.8,20.3,12,1,0,0,0
2017,2017,1223,0,0,0,0,0,0,0,0,0,0,930.2,849.9,581.6,2361.7,21.8,12,1,0,0,0
2017,2017,1224,0,0,0,0,0,0,0,0,0,0,156.7,0,0,156.7,20.4,12,1,0,0,0
2017,2017,1225,0,0,0,0,0,0,0,0,0,0,2395.7,0,182,2577.7,19.7,12,1,0,0,0
2017,2017,1226,0,0,0,0,0,0,0,0,0,0,156.7,0,0,156.7,21.1,12,1,0,0,0
2017,2017,1227,0,0,0,0,0,0,0,0,0,0,156.7,0,0,156.7,13.9,12,1,0,0,0
2017,2017,1302,915.03,820.62,2286,252,240,186,324,690,594,1275.61,255.3,203.3,577.9,1036.5,14.6,13,1,348,594,85.96
2017,2017,1303,516.36,368.57,1290,120,180,110,160,430,270,769.6,1545.7,727.2,1856.4,4129.3,14.3,13,1,240,270,48.51
2017,2017,1304,610.02,547.08,1524,168,160,124,216,460,396,890.81,321.5,298,811,1430.5,16.5,13,1,268,396,57.31
2017,2017,1305,940.65,723.08,2350,330,360,170,310,850,320,1452.62,219.4,111.8,627.7,958.9,16.9,13,1,530,320,88.37
2017,2017,1306,556.39,370.67,1390,170,210,150,180,460,190,865.8,347,148.5,261.7,757.2,16.3,13,1,290,190,52.27
2017,2017,1307,0,0,0,0,0,0,0,0,0,0,1252.2,675.6,2451.2,4379,16,13,1,0,0,0
2017,2017,1308,0,0,0,0,0,0,0,0,0,0,2322.1,130.8,4036,6488.9,13.9,13,1,0,0,0
2017,2017,1309,216.15,0,540,68,88,44,72,188,84,0,147.9,160.2,246.7,554.8,13.6,13,1,120,84,20.31
2017,2017,1310,324.22,0,810,102,132,66,108,282,126,0,391,83.2,304.2,778.4,13.4,13,1,164,126,30.46
2017,2017,1311,304.21,285,760,120,130,70,110,260,70,490.62,552.5,254.8,363.9,1171.2,14,13,1,180,70,28.58
2017,2017,1312,484.34,0,1210,100,100,130,350,390,120,836.94,718.9,563,2337.4,3619.3,13.9,13,1,100,120,45.5
2017,2017,1313,24.02,0,60,0,0,10,30,10,10,48.1,1561.1,87.9,2713.2,4362.2,13.9,13,1,0,10,2.26
2017,2017,1401,306.21,306,765,90,105,45,80,255,195,408.85,622.8,603.5,4215.4,5441.7,14.3,14,1,150,195,28.77
2017,2017,1402,554.38,512.96,1385,145,150,100,205,530,265,875.42,305.6,248.1,1259.8,1813.5,14.5,14,1,220,265,52.08
2017,2017,1403,756.52,756,1890,250,240,150,280,690,290,1183.26,16.9,28.1,444.5,489.5,16.9,14,1,360,290,71.07
2017,2017,1404,1296.9,1041.43,3240,530,450,220,520,1170,360,2058.68,40.4,145.5,655.8,841.7,20.6,14,1,700,360,121.84
2017,2017,1405,1188.82,552.22,2970,850,650,180,360,670,260,1443,91.2,129.7,268.8,489.6,19.4,14,1,1050,260,111.68
2017,2017,1406,1160.8,1403.23,2900,310,300,210,530,1080,480,1885.52,131.4,62.9,117.5,311.8,14.1,14,1,440,480,109.05
2017,2017,1407,554.38,512.96,1385,145,150,100,205,530,265,875.42,305.6,248.1,1259.8,1813.5,14.7,14,1,220,265,52.08
2017,2017,1408,372.26,310,930,84,84,60,114,378,204,571.43,646.4,1645,2112.1,4403.5,14.5,14,1,126,204,34.97
2017,2017,1409,552.38,623.23,1380,256,112,116,188,440,268,761.9,94,96.1,274,464.1,13.5,14,1,200,268,51.89
2017,2017,1410,828.57,934.84,2070,384,168,174,282,660,402,1119.77,376,384.2,1096,1856.2,31.4,14,1,256,402,77.84
2017,2017,1411,1793.24,1904,4480,630,320,300,810,1480,960,2645.5,688.4,232.8,2158.3,3079.5,27.3,14,1,570,960,168.46
2017,2017,1412,1064.74,1222.16,2660,280,224,154,434,1022,553,1649.83,64.5,57.3,2845.9,2967.7,25.7,14,1,336,553,100.03
2017,2017,1413,456.32,523.78,1140,120,96,66,186,438,237,697.26,9.9,4.9,125.8,140.6,25.2,14,1,208,237,42.87
2017,2017,1414,1292.9,1399.67,3230,570,280,240,530,1090,520,1904.76,94.6,52.5,166.8,313.9,23.9,14,1,500,520,121.46
2017,2017,1415,1677.16,1355.59,4190,1250,630,370,630,880,430,2106.78,91.2,129.7,268.8,489.6,23.9,14,1,1110,430,157.56
2017,2017,1416,306.21,306,765,90,105,45,80,255,195,408.85,635.5,615.8,4301.4,5552.7,23.6,14,1,150,195,28.77
2017,2017,1417,248.17,206.67,620,56,56,40,76,252,136,394.42,545.5,1388.2,1782.4,3716.1,21,14,1,98,136,23.31
2017,2017,1418,1449,1244.38,3620,630,450,180,450,1290,630,2049.06,53.2,29.9,376.9,460,28.9,14,1,740,630,136.13
2017,2017,1501,1288.89,1520.56,3220,240,200,160,420,1050,1150,1654.64,412.3,11.1,1271.9,1695.3,23,15,1,300,1150,121.08
