code,year,full_code,population,employment
2025_JTMT,2025,410,1145523.432237171,360309.4670764269
2025_JTMT,2025,444,286049.366097,57774.10561031798
2025_JTMT,2025,445,794877.2531129998,36952.846195734994
2025_JTMT,2025,0,2292074.959139001,30370.890697655
2025_JTMT,2025,145,467437.2638390001,29387.311712799998
2025_JTMT,2025,142,135834.611346,36702.82938061
2030_JTMT,2030,410,1270567.6932071005,405834.42580040713
2030_JTMT,2030,444,355846.6521064,71457.33173465403
2030_JTMT,2030,445,862844.2162186998,42218.53896641999
2030_JTMT,2030,0,2496494.5174529995,34081.053426694
2030_JTMT,2030,145,518471.94946000003,33320.004553000006
2030_JTMT,2030,142,155305.12563800003,44577.17519704001
2035_JTMT,2035,410,1422250.030542799,460173.44197600655
2035_JTMT,2035,444,435410.3619719999,88672.89489210397
2035_JTMT,2035,445,930872.0333538007,48514.69117747999
2035_JTMT,2035,0,2691088.9792290004,38163.77784503099
2035_JTMT,2035,145,561602.5747860002,36865.03047650001
2035_JTMT,2035,142,185740.26350700003,54902.368745240005
2040_JTMT,2040,410,1585172.0762220998,519060.87778460496
2040_JTMT,2040,444,497551.3501427,101913.43580150408
2040_JTMT,2040,445,1008129.1282539004,57433.89972501999
2040_JTMT,2040,0,2883229.5628110003,43068.904627214004
2040_JTMT,2040,145,608932.194175,41601.565433300006
2040_JTMT,2040,142,211969.00290100006,64329.96138293999
2045_JTMT,2045,410,1774854.033963399,582323.8778115212
2045_JTMT,2045,444,510422.54452090024,118126.77113448005
2045_JTMT,2045,445,1059481.6530441002,64644.83978883999
2045_JTMT,2045,0,3054669.8377090003,46506.501808908986
2045_JTMT,2045,145,641879.3679480001,45557.8370308
2045_JTMT,2045,142,209703.85841279998,71674.80110334001
2050_JTMT,2050,410,1853893.6525375003,616602.4257973911
2050_JTMT,2050,444,533571.2323929,130100.54421168007
2050_JTMT,2050,445,1123084.3342925005,70515.88740868002
2050_JTMT,2050,0,3252026.922698002,50639.388669807995
2050_JTMT,2050,145,686159.478801,49335.7183121
2050_JTMT,2050,142,211736.8510948,77224.06156424001
