"Scenario","year","supertaz","hh_total","pop","age0_4","age5_9","age10_14","age15_19","age20_24","age25_29","age30_34","age35_39","age40_44","age45_49","age50_54","age55_59","age60_64","age65_69","age70_74","age75up","emp_tot","indus","com_hotel","business","public","education","agri","student","univ","UO_Hi_Ed","pop_emp_employed"
"BAU",2025,13,10455.0875,261850.3661,6333.5777,6002.2376,5895.4794,4917.9737,3371.4508,3365.4830,2733.4341,2769.8976,2204.2712,1610.8573,1265.8605,1015.9447,921.0758,770.8039,547.6552,486.9240,7570.7753,69.4223,1873.8837,1543.8384,1018.0748,3065.5562,0.0000,20499.0508,0.0000,1812.5236,15524.2782
"BAU",2025,14,12783.4144,65667.0498,4259.7983,4324.2009,4866.0749,5393.0512,3772.3448,3637.1539,2707.3261,2776.1256,2941.6755,2918.8938,2831.1194,2328.8647,1978.9691,1989.4396,1601.2034,2289.8742,9913.4849,737.6265,3569.8782,1956.8104,1152.2833,2469.3953,27.4912,17011.5262,0.0000,614.1609,22041.4566
"BAU",2025,15,0.0000,44732.8245,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"BAU",2025,16,9022.4799,295815.4682,4656.6443,4718.7586,4942.8097,4643.3467,2864.3116,2535.8148,2135.3309,2334.7454,2224.7428,1817.4669,1454.2867,1103.2851,928.1951,894.3825,696.5265,640.5697,7676.3716,73.0023,2418.7269,976.9219,1023.0548,3184.6657,0.0000,17407.8719,1330.3772,1701.2902,14128.3185
"BAU",2025,17,13382.1792,87129.6138,16433.7233,13393.2770,11856.0579,10698.9979,9049.2476,5663.5078,4003.2084,3489.2036,3302.9211,2881.6087,1853.5969,1090.3172,861.9416,382.7422,294.0140,299.5896,9399.7958,0.0000,1382.5553,516.5350,423.0248,7077.6808,0.0000,47715.9849,520.5824,9177.9190,16025.5702
"BAU",2025,18,2917.3734,505253.7489,1058.2615,1116.8947,1231.1125,1385.1886,850.1379,665.6994,552.1630,607.2500,622.4378,537.4932,447.3193,344.7003,290.5400,292.2696,233.0822,221.3294,1892.3894,0.0000,649.7069,304.1250,249.0366,675.8895,13.6315,4392.4588,0.0000,725.9313,4022.1851
"BAU",2025,19,2049.4719,363350.2562,1444.7802,1362.8372,1316.4565,963.6163,669.9650,728.9900,600.0212,609.9573,464.9886,326.9576,248.4359,193.5114,174.7428,134.0893,87.5767,66.5534,1660.3799,0.0000,385.7177,230.5129,186.8242,726.2589,131.0662,4656.3197,0.0000,644.1200,3258.8583
"BAU",2025,2,20477.3420,75168.8082,7539.9610,7249.1412,6965.8388,6798.4463,8932.2315,7705.4695,5120.6609,3912.4486,3673.5204,3683.5546,3405.8235,2746.8446,2283.4440,1829.6697,1148.7125,2173.0411,19050.9793,824.5477,3077.9946,3931.5690,4288.6522,6928.2158,0.0000,26417.6232,15474.8083,85.2681,20411.7711
"BAU",2025,20,1500.5932,69565.7389,564.5867,652.1727,713.6618,719.8787,385.4528,325.5981,325.2846,410.6495,469.2440,451.6366,372.7281,231.2180,163.0293,175.7344,146.1121,188.1292,1072.7087,0.0000,128.3442,101.6073,85.5628,343.0422,414.1522,2360.9658,0.0000,66.8318,2700.6922
"BAU",2025,21,1623.0283,430543.0701,1238.5022,1099.9630,1026.2316,730.1150,605.1943,649.0509,506.2680,467.5066,329.0888,216.0163,169.3895,148.2467,147.7019,104.8453,64.8134,45.2904,1391.0863,144.2785,288.5570,144.2785,144.2785,669.6938,0.0000,4284.5613,0.0000,753.5858,2562.6625
