"Scenario","year","ravtaz","hh_total","pop","age0_4","age5_9","age10_14","age15_19","age20_24","age25_29","age30_34","age35_39","age40_44","age45_49","age50_54","age55_59","age60_64","age65_69","age70_74","age75up","emp_tot","indus","com_hotel","business","public","education","agri","student","univ","UO_Hi_Ed","pop_emp_employed"
"BAU",2035,76,16662.2363,65625.1153,6485.8518,6643.7569,6538.1639,6729.8966,5859.2908,4291.7442,3813.2920,3775.5851,3637.2092,3742.8320,3417.8173,2576.1729,2134.2970,1569.6188,1449.4191,2960.1678,10431.6374,0.0000,4445.5066,1625.6533,1036.4347,3324.0428,0.0000,22684.3647,0.0000,2056.6060,23192.4574
"BAU",2035,77,8884.4209,32948.7808,3043.1257,2707.9066,2536.9914,2419.3249,2813.4910,2626.6963,2091.1725,1836.9917,1519.2084,1658.5449,1612.0827,1429.9313,1379.3533,1141.3992,1106.6825,3025.8783,7351.3125,0.0000,3036.1672,2098.8728,825.2063,1391.0662,0.0000,9636.3974,0.0000,291.9675,14231.7677
"BAU",2035,78,7575.6136,36856.6403,3791.0184,3312.6018,2843.1421,2966.1568,3014.1402,2919.4752,2386.2415,1977.5362,1622.2201,1757.8165,1911.1673,1759.6646,1481.8581,1250.2061,1133.0777,2730.3176,4521.4188,0.0000,1564.1820,568.7934,710.9918,1677.4516,0.0000,11719.7023,0.0000,1343.0802,14162.2449
"BAU",2035,79,17651.3402,81335.0099,12636.6834,10895.3234,9261.9901,8210.8097,8227.1290,7073.8386,5435.5524,4796.3678,3293.2644,2626.0414,2169.3672,1945.6599,1802.2487,1118.2134,792.9058,1049.6147,13702.8181,88.1127,4039.7939,2544.8379,1630.4631,5368.6961,30.9144,35885.2154,0.0000,4553.1162,27726.7697
"BAU",2035,8,2272.7755,9048.3334,885.3163,891.8577,864.3769,746.7283,763.5670,621.6015,543.6393,532.2755,486.3166,536.7698,487.4902,369.0080,316.0749,252.3912,225.7966,525.1236,28615.9037,0.0000,9384.8458,14226.0840,4812.4533,192.5206,0.0000,1347.6442,0.0000,31.9013,3827.8189
"BAU",2035,80,0.0000,271763.5734,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"BAU",2035,82,3076.3113,13158.4691,1416.8720,1363.1581,1323.3664,1311.2007,1280.2144,1003.9421,775.9366,768.6169,680.7372,664.7598,583.6353,501.9839,435.0106,337.5181,277.0014,434.5154,2193.6975,0.0000,775.3023,365.9471,301.7423,729.9090,20.7968,4839.8548,0.0000,380.1994,5385.4718
"BAU",2035,83,513.3494,601795.9092,0.0000,0.0000,0.0000,335.2813,171.6512,6.41687,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,28.8759,0.0000,0.0000,0.0000,0.0000,28.8759,0.0000,0.0000,0.0000,630.4572,0.0000
"BAU",2035,84,3094.2743,12707.2112,1221.1538,1335.6572,1315.9089,1103.0899,1050.6777,774.6512,732.3943,777.2097,747.1043,835.1761,729.0788,502.4366,399.3826,312.3145,273.1240,597.8515,2113.4118,0.0000,718.6268,318.7968,243.4512,606.5002,226.0367,4234.2722,0.0000,121.9205,5419.0501
"BAU",2035,85,52426.4738,296706.7477,50313.5611,45321.4877,38650.3167,31663.0705,22897.6824,18725.2651,16722.0279,14965.0175,13913.2530,9272.4306,7470.2915,5826.4020,4942.3255,4499.2885,3793.0184,7731.3093,54341.1634,6269.6955,9919.7489,9517.6276,6413.0235,22170.9781,50.0897,152153.6476,0.0000,28214.3416,69030.7846
