TAZ_1318_N,full_code
1309,110
1305,110
1318,110
1311,110
1310,110
1304,110
1312,110
1313,110
1324,110
1308,110
1321,110
1314,110
1121,110
1412,110
1410,110
1411,110
1409,110
1124,110
1119,110
5002,133
5004,133
5001,133
2703,123
5003,133
5301,133
5304,133
2864,123
2804,123
2704,123
2612,122
2611,122
2609,122
2603,122
2602,122
2601,122
2614,122
2618,122
2613,122
2610,122
2615,122
1216,110
2414,122
2416,122
2211,122
2212,122
2426,122
2425,122
2420,122
2220,122
2304,122
2227,122
4074,132
2230,122
2232,122
2234,122
4101,132
4054,132
4104,132
2444,122
2432,122
2235,122
2224,122
4102,132
2435,122
2436,122
2239,122
2311,122
2305,122
1917,110
2314,122
2312,122
2440,122
2437,122
2439,122
2317,122
2441,122
2438,122
1920,110
1921,110
1923,110
1922,110
1919,110
1916,110
1918,110
2303,122
2309,122
2310,122
2313,122
2442,122
2443,122
2422,122
2430,122
2428,122
2429,122
2431,122
2424,122
2231,122
1402,110
1219,110
2406,122
2405,122
2418,122
2419,122
2409,122
2408,122
2415,122
2417,122
2413,122
1117,110
2210,122
2218,122
2217,122
2229,122
2228,122
2401,122
1218,110
2502,122
2503,122
4106,132
2434,122
2448,122
4103,132
2450,122
2447,122
2240,122
2237,122
2233,122
2238,122
2505,122
2506,122
2507,122
2509,122
2206,122
2204,122
4024,132
4025,132
4023,132
2216,122
2213,122
2221,122
2215,122
2214,122
2223,122
2225,122
2226,122
2205,122
4027,132
4026,132
1101,110
2026,121
2025,121
2005,121
2024,121
2021,121
1110,110
1105,110
1106,110
2009,121
3023,131
1103,110
1104,110
2118,121
2103,121
2019,121
1202,110
2111,121
2018,121
1212,110
1205,110
2106,121
2109,121
2105,121
2117,121
1107,110
1208,110
1201,110
1109,110
1108,110
1207,110
1206,110
2027,121
2028,121
2045,121
2101,121
2023,121
2120,121
2121,121
2122,121
2125,121
2123,121
1203,110
1204,110
2110,121
2008,121
2033,121
2014,121
2039,121
2040,121
2034,121
2032,121
2015,121
2012,121
2035,121
2036,121
2013,121
2104,121
2041,121
2017,121
2016,121
2006,121
2010,121
3024,131
2011,121
6606,141
3012,131
3010,131
3002,131
2004,121
6145,141
6171,141
6168,141
6170,141
6164,141
6166,141
6602,141
6169,141
6159,141
6158,141
6152,141
6154,141
6153,141
6155,141
6160,141
6109,141
6102,141
6129,141
6128,141
6110,141
6111,141
6127,141
6112,141
6125,141
6114,141
6132,141
6133,141
6124,141
6131,141
6126,141
6113,141
6107,141
6115,141
6116,141
6118,141
6702,141
6703,141
7124,142
7217,142
7502,142
7503,142
7120,142
7121,142
7122,142
7203,142
7125,142
7011,142
4004,132
4013,132
7303,142
7305,142
7504,142
7012,142
7501,142
7304,142
7507,142
4302,132
4401,132
7505,142
4504,132
4601,132
4503,132
4505,132
4510,132
4507,132
4508,132
4506,132
4509,132
4501,132
4502,132
7506,142
4071,132
4015,132
4068,132
4067,132
4066,132
4075,132
4016,132
4036,132
4041,132
4043,132
4065,132
4042,132
4063,132
4062,132
4060,132
4058,132
4301,132
4061,132
4073,132
4201,132
4202,132
4059,132
4204,132
4203,132
4057,132
4072,132
4064,132
4010,132
4017,132
4020,132
4019,132
4032,132
4046,132
4048,132
4052,132
4051,132
4030,132
4031,132
4050,132
4049,132
4007,132
4008,132
4009,132
4033,132
4035,132
4044,132
4034,132
4045,132
4047,132
4011,132
4012,132
4018,132
4069,132
4070,132
4037,132
7401,142
7402,142
7404,142
7207,142
7206,142
7216,142
7214,142
7010,142
7013,142
7301,142
7302,142
7210,142
7208,142
7209,142
7211,142
7202,142
7213,142
7204,142
7205,142
7215,142
7001,142
3125,131
6706,141
3106,131
3124,131
3123,131
3121,131
7007,142
3120,131
3119,131
3118,131
3117,131
3027,131
3017,131
3113,131
3115,131
3029,131
3028,131
3311,131
7008,142
7009,142
3325,131
3324,131
3301,131
3305,131
3317,131
3132,131
3133,131
3315,131
3323,131
3320,131
3304,131
3303,131
3302,131
3026,131
3314,131
3318,131
3203,131
3030,131
3135,131
3134,131
3310,131
3127,131
3126,131
3308,131
3307,131
3306,131
3312,131
3128,131
3129,131
3130,131
3131,131
3136,131
6422,141
3101,131
3102,131
3112,131
3111,131
3114,131
3116,131
3007,131
3006,131
3001,131
3004,131
3016,131
3018,131
3021,131
3020,131
3019,131
3108,131
3109,131
3107,131
7004,142
7110,142
7123,142
7102,142
7101,142
6704,141
6520,141
6527,141
6705,141
3104,131
6523,141
6526,141
6525,141
6005,141
6008,141
6007,141
6006,141
6017,141
6307,141
6308,141
6012,141
6014,141
6501,141
6513,141
6306,141
6302,141
6301,141
6303,141
6304,141
6310,141
6402,141
6139,141
6140,141
6141,141
6410,141
6311,141
6405,141
6403,141
6411,141
6401,141
6151,141
6150,141
6421,141
6404,141
6104,141
6020,141
6013,141
6138,141
6122,141
6502,141
6305,141
6503,141
6019,141
6004,141
6001,141
6003,141
6511,141
6510,141
6516,141
6512,141
6016,141
5338,133
5341,133
5340,133
5337,133
5509,133
5510,133
7201,142
1607,110
2219,122
2222,122
2828,123
2917,123
3110,131
6708,141
7403,142
7508,142
5641,133
5633,133
5621,133
6143,141
6101,141
6108,141
6106,141
6117,141
6147,141
6148,141
6165,141
6167,141
6157,141
6203,141
6205,141
6204,141
6312,141
6601,141
6524,141
6015,141
6018,141
8411,143
8429,143
5319,133
5318,133
5006,133
8340,143
8341,143
8408,143
8407,143
8104,143
5505,133
5639,133
5362,133
5214,133
7608,142
7606,142
7511,142
5109,133
6010,141
6701,141
6515,141
6521,141
3008,131
6144,141
3009,131
6120,141
1709,110
2701,123
1935,110
2931,123
2850,123
1716,110
1611,110
2516,122
2207,122
4105,132
2315,122
2308,122
2307,122
2403,122
7212,142
1416,110
8202,143
8020,143
8021,143
8102,143
8205,143
8206,143
7005,142
7006,142
7002,142
3202,131
2022,121
2002,121
6009,141
7510,142
8003,143
8010,143
8014,143
5405,133
5105,133
1125,110
1609,110
2113,121
4039,132
4040,132
2508,122
6156,141
8327,143
5320,133
5321,133
2455,122
1417,110
3205,121
6707,141
2316,122
2838,123
6202,141
6201,141
6121,141
5513,133
8103,143
8101,143
5618,133
5642,133
5640,133
5403,133
5360,133
5402,133
5007,133
5401,133
4029,132
4028,132
4005,132
4003,132
4002,132
3204,131
3313,131
3122,131
3137,131
3309,131
2446,122
2445,122
2943,123
2871,123
2942,123
2874,123
2873,123
2872,123
2855,123
2031,121
2029,121
2037,121
2038,121
3316,131
2107,121
2108,121
5103,133
4014,132
4038,132
3103,131
3105,131
3031,131
3011,131
2007,121
2001,121
2003,121
2116,121
2115,121
2114,121
2102,121
2126,121
2119,121
2112,121
2042,121
2048,121
2020,121
2043,121
2049,121
2047,121
2046,121
2201,122
2513,122
2604,122
2515,122
2514,122
2512,122
2511,122
2449,122
4402,132
6149,141
5502,133
5311,133
5358,133
5361,133
5323,133
5359,133
8225,143
8328,143
8321,143
5628,133
5608,133
7604,142
7602,142
7607,142
7605,142
7622,142
7619,142
5374,133
2802,123
2801,123
8405,143
2867,123
2813,123
2814,123
7003,142
8451,143
8441,143
8414,143
3005,131
5106,133
5120,133
5113,133
2402,122
2404,122
2407,122
2423,122
2412,122
2433,122
1414,110
1605,110
1112,110
2209,122
2203,122
2202,122
2208,122
1102,110
1215,110
1521,110
1608,110
1902,110
1910,110
1905,110
1816,110
1808,110
1814,110
1806,110
1712,110
1924,110
2452,122
2451,122
2421,122
2236,122
2302,122
2306,122
2044,121
8434,143
8419,143
