scenario,year,ID,AREA,TAZ_OLD,TAZ_1318_S,TAZ_1318_N,TYPE,CULTURALM,CULTURALL,UNIVERSITY,U_STUDENTS,COLLEGE,CSTUDENTS,YESHIVA,YSTUDENTS,EDUCATIONH,H_CLASS,H_STUDENTS,EDUCATIONE,E_CLASS,E_STUDENTS,OFFICE,MALL,MALL_AREA,STREET,STR_AREA,MARKET,MARKET_ARE,HEALTH,BEDS_HEALT,SOCECO,SECTOR,SECTOR_JEW,SECTOR_ARA,SECTOR_ORT,URBAN,POPULATION,HOUSEHOLDS,HH_JEW,HH_ARAB,HH_ORTO,EMPL_TOT,EMPL_COMM,EMPL_SERV,EMPL_INDU,EMPL_OFFIC,AGE_0_14,AGE_15_19,AGE_20_24,AGE_25_34,AGE_35_64,AGE_65_74,AGE_75,WOMEN,MEN,WORKERS,PARKCOST,PARKWALK,PARKCAP,SOLDIERS,ARMY,MLIC2,MLIC3,MLIC4,MLIC5,MLIC6,FLIC2,FLIC3,FLIC4,FLIC5,FLIC6,GE,GE_NAME,SEMEL,CITY_H,CITY_E,MUNICIPAL,nafa
BAU,2025,627,315000,1122,11010,1122,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,368,0,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,0,0,0,0,0,0,0,0,0,0,0,0,10,גלעין (תל-א,5000,תל אביב -יפו,TEL AVIV - YAFO,תל אביב יפו,15
BAU,2025,628,272000,1123,11090,1123,3,0,0,0,0,0,0,0,0,0,0,0,1,18,409,0,0,0,1,752,0,0,0,0,10,1,1,0,0,1,5445,2367,2.3,0,0,969,25,944,0,0,1287,280,298,535,1951,613,481,2756,2689,2737,0,1,2949,0,0,0.005,0.036,0.156,0.279,0.084,0.004,0.028,0.123,0.219,0.066,10,גלעין (תל-א,5000,תל אביב -יפו,TEL AVIV - YAFO,תל אביב יפו,15
BAU,2025,1172,141000,1124,11250,1124,8,0,0,0,0,1,2955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,1,0,0,1,857,373,2.3,0,0,1044,0,1044,0,0,202,44,47,84,307,97,76,434,423,431,0,1,991,0,0,0.005,0.036,0.156,0.279,0.084,0.004,0.028,0.123,0.219,0.066,10,גלעין (תל-א,5000,תל אביב -יפו,TEL AVIV - YAFO,תל אביב יפו,15
BAU,2025,387,528000,1125,11220,1125,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1316,0,1316,0,0,0,0,0,0,0,0,0,0,0,0,0,1,798,300,1,0,0,0,0,0,0,0,0,0,0,10,גלעין (תל-א,5000,תל אביב -יפו,TEL AVIV - YAFO,תל אביב יפו,15
BAU,2025,382,1410000,1126,11240,1126,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,660,0,660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,407,0,0,0,0,0,0,0,0,0,0,0,0,10,גלעין (תל-א,5000,תל אביב -יפו,TEL AVIV - YAFO,תל אביב יפו,15
BAU,2025,836,473000,1201,12080,1201,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,1,0,0,1,251,120,2.1,0,0,320,0,320,0,0,68,14,11,20,91,17,30,134,117,137,0,1,316,0,0,0.005,0.036,0.156,0.279,0.084,0.004,0.028,0.123,0.219,0.066,10,גלעין (תל-א,5000,תל אביב -יפו,TEL AVIV - YAFO,תל אביב יפו,15
BAU,2025,821,295000,1202,12090,1202,3,0,0,0,0,0,0,0,0,0,0,0,1,21,500,0,0,0,0,0,0,0,0,0,9,1,1,0,0,1,4232,1365,3.1,0,0,634,0,634,0,0,1146,228,185,331,1545,291,506,2266,1966,1944,0,1,1728,0,0,0.005,0.036,0.156,0.279,0.084,0.004,0.028,0.123,0.219,0.066,10,גלעין (תל-א,5000,תל אביב -יפו,TEL AVIV - YAFO,תל אביב יפו,15
BAU,2025,856,151000,1203,12150,1203,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,1,0,0,1,3592,1497,2.4,0,0,433,0,433,0,0,653,158,224,607,1406,236,308,1842,1751,1858,0,1,1613,0,0,0.005,0.036,0.156,0.279,0.084,0.004,0.028,0.123,0.219,0.066,10,גלעין (תל-א,5000,תל אביב -יפו,TEL AVIV - YAFO,תל אביב יפו,15
BAU,2025,857,255000,1204,12160,1204,3,0,1,0,0,0,0,1,69,0,0,0,1,22,374,0,0,0,1,966,0,0,0,0,5,2,0.75,0,0.25,1,5994,2398,2.233,0,3.85,726,24,702,0,0,1337,472,356,981,2065,327,457,3059,2934,3100,0,1,2972,0,0,0.005,0.036,0.156,0.279,0.084,0.004,0.028,0.123,0.219,0.066,10,גלעין (תל-א,5000,תל אביב -יפו,TEL AVIV - YAFO,תל אביב יפו,15
BAU,2025,827,570000,1205,12140,1205,2,0,0,0,0,0,0,0,0,0,0,0,1,18,483,0,0,0,1,6709,0,0,0,0,10,1,1,0,0,1,2330,777,3,0,0,1324,186,1138,0,0,474,233,212,207,839,189,177,1193,1137,1236,0,1,1629,0,0,0.005,0.036,0.156,0.279,0.084,0.004,0.028,0.123,0.219,0.066,10,גלעין (תל-א,5000,תל אביב -יפו,TEL AVIV - YAFO,תל אביב יפו,15
BAU,2025,840,477000,1206,12100,1206,3,0,0,0,0,0,0,0,0,0,0,0,1,22,150,0,0,0,1,1233,0,0,0,0,9,1,1,0,0,1,5675,1621,3.5,0,0,1607,40,1567,0,0,1343,521,414,532,2196,415,255,2877,2798,3090,0,1,2613,0,0,0.005,0.036,0.156,0.279,0.084,0.004,0.028,0.123,0.219,0.066,10,גלעין (תל-א,5000,תל אביב -יפו,TEL AVIV - YAFO,תל אביב יפו,15
BAU,2025,839,330000,1207,12020,1207,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1521,0,0,0,0,9,1,1,0,0,1,5982,2301,2.6,0,0,1059,49,1010,0,0,1415,362,337,615,2287,547,420,3081,2901,3163,0,1,2956,0,0,0.005,0.036,0.156,0.279,0.084,0.004,0.028,0.123,0.219,0.066,10,גלעין (תל-א,5000,תל אביב -יפו,TEL AVIV - YAFO,תל אביב יפו,15
BAU,2025,835,575000,1208,12010,1208,3,0,0,0,0,0,0,0,0,0,0,0,1,17,463,0,0,0,1,2130,0,0,0,0,9,1,1,0,0,1,6419,2006,3.2,0,0,2101,68,2033,0,0,1652,636,344,460,2355,488,484,3284,3135,3204,0,1,3308,0,0,0.005,0.036,0.156,0.279,0.084,0.004,0.028,0.123,0.219,0.066,10,גלעין (תל-א,5000,תל אביב -יפו,TEL AVIV - YAFO,תל אביב יפו,15
BAU,2025,372,677000,1209,12030,1209,3,0,0,0,0,0,0,0,0,0,0,0,1,43,1118,0,0,0,0,0,0,0,0,0,9,1,1,0,0,1,3555,1317,2.7,0,0,929,0,929,0,0,955,286,194,259,1342,180,340,1868,1687,1793,0,1,1884,0,0,0.005,0.036,0.156,0.279,0.084,0.004,0.028,0.123,0.219,0.066,10,גלעין (תל-א,5000,תל אביב -יפו,TEL AVIV - YAFO,תל אביב יפו,15
BAU,2025,1173,353000,1210,12040,1210,8,0,0,0,0,1,3139,0,0,1,57,1673,0,0,0,0,0,0,0,0,0,0,0,0,9,1,1,0,0,1,3233,1155,2.8,0,0,3007,0,3007,0,0,558,219,189,378,1060,279,550,1699,1534,1706,0,1,2974,0,0,0.005,0.036,0.156,0.279,0.084,0.004,0.028,0.123,0.219,0.066,10,גלעין (תל-א,5000,תל אביב -יפו,TEL AVIV - YAFO,תל אביב יפו,15
BAU,2025,375,407000,1211,12120,1211,3,0,0,0,0,0,0,0,0,1,45,1381,1,22,150,0,0,0,0,0,0,0,0,0,9,1,1,0,0,1,2867,989,2.9,0,0,1338,0,1338,0,0,587,259,200,242,1023,252,304,1451,1416,1490,0,1,1810,0,0,0.005,0.036,0.156,0.279,0.084,0.004,0.028,0.123,0.219,0.066,10,גלעין (תל-א,5000,תל אביב -יפו,TEL AVIV - YAFO,תל אביב יפו,15
BAU,2025,826,378000,1212,12110,1212,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,1,0,0,1,4560,1341,3.4,0,0,1577,0,1577,0,0,1071,424,296,338,1676,413,343,2327,2233,2333,0,1,2307,0,0,0.005,0.036,0.156,0.279,0.084,0.004,0.028,0.123,0.219,0.066,10,גלעין (תל-א,5000,תל אביב -יפו,TEL AVIV - YAFO,תל אביב יפו,15
