"scenario","year","TZ28","U_STUDENTS","CSTUDENTS","YSTUDENTS","H_CLASS","H_STUDENTS","E_CLASS","E_STUDENTS","MALL_AREA","STR_AREA","MARKET_ARE","BEDS_HEALT","POPULATION","HOUSEHOLDS","HH_JEW","HH_ARAB","HH_ORTO","EMPL_TOT","EMPL_COMM","EMPL_SERV","EMPL_INDU","EMPL_OFFIC","AGE_0_14","AGE_15_19","AGE_20_24","AGE_25_34","AGE_35_64","AGE_65_74","AGE_75","WOMEN","MEN","WORKERS","PARKCOST","PARKWALK","PARKCAP","SOLDIERS"
"IPLAN",2025,10,0,1491,0,193,5581,221,5715,26500,53775,0,114,68881,21662,67.9000,0.0000,0.0000,30570,2268,20385,5523,2392,16823,5091,4362,6696,25189,5533,5191,35268,33613,34478,76,97,39995,0
"IPLAN",2025,11,7989,0,0,157,4291,290,7386,57639,132744,0,95,110674,40299,95.8000,0.0000,0.0000,74556,9399,39920,12793,12445,24048,7008,6906,11994,39573,10382,10760,56844,53830,57293,234,342,83628,0
"IPLAN",2025,12,724,0,463,215,6072,241,6084,45000,173369,0,287,80970,27342,77.7000,0.0000,0.0000,50040,7374,28232,5724,8713,16988,5976,5690,7884,27278,8636,8520,41430,39540,37994,150,226,59073,0
"IPLAN",2025,13,0,315,0,161,4370,329,8326,99434,145437,5462,778,111808,38149,101.7000,0.0000,0.0000,45949,13863,26221,423,5443,24928,6857,5995,11016,38645,11642,12721,58012,53796,61273,175,245,69239,0
"IPLAN",2025,14,5368,10063,1106,512,14324,761,18994,54855,174125,9844,1014,207773,67816,147.3364,0.0000,34.5456,80757,9880,37233,21549,12092,53824,13647,12125,23039,69284,17254,18599,105998,101773,100445,212,265,116343,0
"IPLAN",2025,15,0,1000,396,66,1785,215,5236,13781,61231,3178,1191,55407,15172,52.0000,0.0000,0.0000,31299,2214,19324,9761,0,17059,4424,3706,7204,17348,2991,2674,27252,28155,29613,27,38,32733,131
"IPLAN",2025,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,39233,0,17565,6165,15503,0,0,0,0,0,0,0,0,0,0,5,7,24371,0
"IPLAN",2025,17,1506,0,819,300,7141,833,18277,56468,344242,4266,0,167478,49657,133.7122,201.2526,0.0000,72496,16327,30877,18909,6383,43712,13055,12553,22300,51407,11092,13361,83587,83891,72083,161,186,95425,0
"IPLAN",2025,18,0,544,410,215,6056,364,9088,13000,32246,0,231,99984,27138,60.4882,0.0000,12.8830,32605,2084,23411,7109,0,27372,10765,7980,9537,32623,5220,6497,50593,49391,52084,12,26,44361,626
"IPLAN",2025,19,0,0,0,101,2691,179,4868,5012,104299,0,10,60906,17256,70.7707,0.0000,11.3288,27069,2970,9153,11573,3375,17327,4161,3776,8004,20567,4224,2850,30503,30405,27360,0,23,32948,1912
"IPLAN",2025,2,1261,767,505,275,6505,385,8174,17000,106252,0,10,139709,53620,109.0278,0.0000,5.2204,30936,6424,17058,6198,1254,25465,7727,7932,15524,49886,13889,19280,73186,66523,69701,251,376,73913,0
"IPLAN",2025,20,2464,4097,1349,543,13412,658,15966,110685,296391,3760,641,255322,80289,123.6435,0.0000,58.2094,91649,16798,40792,31522,2533,63041,20207,19205,29130,79468,19304,24964,130803,124519,114270,160,210,141462,285
"IPLAN",2025,21,0,0,619,214,5641,210,5555,27600,82676,0,0,65703,19800,65.0000,0.0000,4.3,21550,3153,12530,5865,0,17824,5547,4719,6916,22722,4162,3812,32574,33129,29255,0,22,32404,3265
"IPLAN",2025,22,905,0,978,367,10871,425,10165,31018,130193,0,10,100096,27279,72.8000,0.0000,3.3,32746,4582,21883,5864,418,28571,10265,7472,8015,37050,4723,4005,50445,49652,54374,105,149,48438,0
"IPLAN",2025,23,0,0,1203,156,4369,424,10250,23287,37087,0,0,99656,21939,62.6193,0.0000,34.0160,34277,3823,27026,3427,0,37235,12182,7566,9784,27558,2861,2472,49312,50344,38508,19,34,42431,1345
"IPLAN",2025,24,0,0,0,303,9228,520,12189,3148,138708,7459,0,137084,37315,81.4919,30.3000,5.1584,54914,4750,31398,10800,7966,37440,12482,11878,18598,44774,5934,5984,68022,69061,60111,57,94,67251,0
"IPLAN",2025,25,2126,4655,834,414,10169,679,16827,99339,291638,7928,816,234039,81911,173.3318,0.0000,34.0204,102329,15413,58222,9952,18743,52470,14930,14962,27547,75142,21795,27198,119883,114156,108446,390,456,145534,578
"IPLAN",2025,26,0,3949,0,63,1042,208,4834,7426,200294,0,0,65053,21583,50.2000,4.5,0.0000,29035,8534,16792,3706,0,16639,6700,4639,6220,22062,4190,4606,31983,33070,31485,0,19,39389,0
"IPLAN",2025,27,0,0,0,302,9255,517,13130,41215,40717,0,260,120460,33635,93.8000,0.0000,0.0000,50050,9125,30742,9217,967,30413,10480,8429,11159,43846,7586,8547,60362,60098,63473,35,71,66278,247
"IPLAN",2025,28,335,2926,0,300,8483,414,9973,0,131049,2898,0,137587,34890,31.1000,72.8000,0.0000,36005,5510,25390,5106,0,39620,14427,12846,18494,42390,5345,4469,68240,69347,50485,5,33,53955,0
"IPLAN",2025,3,0,20038,0,509,13785,538,13268,34000,197824,0,693,218118,77348,180.4719,0.0000,4.7792,78710,12513,33013,18608,14576,50467,15566,14077,23748,76683,17537,20037,112448,105670,111004,16,77,127308,0
"IPLAN",2025,4,1558,8835,549,232,6884,743,19111,73781,243273,0,0,220221,93707,142.7000,0.0000,0.0000,100013,14605,51086,13950,20374,44413,12130,12296,31972,79741,16042,23634,114769,105452,122286,390,576,160765,0
"IPLAN",2025,5,1947,0,4507,134,4179,744,19811,13339,136767,5788,223,218965,50465,95.6762,0.0000,210.8590,71848,12953,40205,10739,7952,91041,25559,20046,27017,40387,7249,7665,106901,112064,56310,195,274,95112,0
"IPLAN",2025,6,2464,9114,459,535,14996,698,16459,101908,378685,6474,46,262953,90663,161.3000,0.0000,0.0000,109986,21472,57268,13315,17932,50719,18227,17727,32983,92120,25788,25392,133933,129020,139110,384,441,164748,3445
