"scenario","year","sectorzn","U_STUDENTS","CSTUDENTS","YSTUDENTS","H_CLASS","H_STUDENTS","E_CLASS","E_STUDENTS","MALL_AREA","STR_AREA","MARKET_ARE","BEDS_HEALT","POPULATION","HOUSEHOLDS","HH_JEW","HH_ARAB","HH_ORTO","EMPL_TOT","EMPL_COMM","EMPL_SERV","EMPL_INDU","EMPL_OFFIC","AGE_0_14","AGE_15_19","AGE_20_24","AGE_25_34","AGE_35_64","AGE_65_74","AGE_75","WOMEN","MEN","WORKERS","PARKCOST","PARKWALK","PARKCAP","SOLDIERS"
"IPLAN",2040,21,12690,927,0,312,9671,803,20651,70815,630944,0,100,253722,88472,178.0000,0.0000,0.0000,154318,26772,85903,17000,24644,60093,17214,15331,28008,86393,24426,22269,130431,123291,132007,382,548,166203,3423
"IPLAN",2040,22,30764,32759,5056,775,21792,2430,63424,113803,838699,5788,1893,657404,217927,351.0000,0.0000,213.0000,296167,38573,168369,42732,46501,185558,55184,47933,92642,183415,42346,50322,332266,325139,299339,741,1096,389630,1013
"IPLAN",2040,23,1797,29656,505,878,23050,1313,31835,51000,577984,0,737,460810,167440,285.0000,0.0000,9,151318,28330,68401,22440,32147,97612,31430,29592,55885,153236,44658,48396,238620,222190,241187,267,458,253152,0
"IPLAN",2040,31,1032,2574,463,579,16371,1005,25920,170934,692947,5462,1218,391525,129700,255.0000,0.0000,0.0000,199561,37649,118159,14731,29021,91360,25414,22251,40194,129716,41650,40953,201224,190301,207229,422,600,228018,0
"IPLAN",2040,32,3410,0,3805,925,27458,1657,40443,84742,645957,6003,1587,443101,138723,260.0000,0.0000,30.0000,252118,27300,120756,37228,66831,111841,29491,24983,49952,140929,41714,44186,225158,217943,223164,364,466,294834,0
"IPLAN",2040,33,13235,28761,2780,1611,43057,3521,81627,254612,1553255,23762,3420,880279,289148,499.0000,174.0000,33.0000,392339,68537,193340,62970,67494,215492,60511,55289,114468,276442,80045,78037,444099,436177,447892,784,941,508216,2000
"IPLAN",2040,41,3508,16436,834,1434,39285,2805,68823,147980,1407082,10826,1093,648854,199516,342.0000,75.0000,31.0000,275019,51919,172081,21676,29342,164147,51144,44886,78630,202669,51668,55726,326273,322580,307979,430,580,360842,991
"IPLAN",2040,42,1290,570,2427,1530,45023,2217,54197,57453,579566,7459,10,402541,104716,224.0000,30.0000,41.0000,169896,17407,115913,16574,20003,126525,39044,30140,46677,124804,18722,16632,200668,201873,187659,196,297,200572,1616
"IPLAN",2040,43,3512,6615,2597,1150,30035,1952,47105,129327,930278,3760,897,576621,176107,313.0000,0.0000,87.0000,227888,32379,128094,58369,9042,153277,45942,39512,67321,177128,44556,48891,292741,283878,281058,172,289,312606,9784
"IPLAN",2050,10,51898,26901,913,903,24636,1510,35080,182658,1329593,181320,2127,688661,333739,414.1015,69.4094,26.2522,737687,178464,370367,22893,165964,130856,32539,39086,133271,225056,61506,66344,346423,342239,391410,374,479,757764,10063
"IPLAN",2050,21,14908,1088,0,472,15321,1159,28727,70815,939195,0,100,319600,119489,167.1000,0.0000,0.0000,202617,40611,104675,21294,36034,79264,20409,18755,34504,105422,32783,28456,164072,155528,162787,328,529,204753,3802
"IPLAN",2050,22,36141,38487,5056,941,25689,2617,67569,113803,934380,5788,1893,727299,269110,336.4999,0.0000,189.4565,341448,43633,193180,47568,57066,206226,57255,51383,99260,197526,52460,63181,367764,359537,329511,701,1077,447409,1124
"IPLAN",2050,23,2112,34839,505,941,24940,1419,34138,51000,643597,0,737,519438,207326,270.4595,0.0000,7.85,177692,31730,80896,23978,41090,112313,33621,32701,60900,165563,55417,58910,268875,250563,259657,267,451,296754,0
"IPLAN",2050,31,1212,3024,463,658,18314,1349,35277,170934,901853,5462,1218,491353,178869,229.1000,0.0000,0.0000,260543,48478,157491,17657,36918,117852,31566,28130,48349,158221,50864,56365,252090,239263,254461,401,591,285866,0
"IPLAN",2050,32,4006,0,3805,945,28061,1926,47360,84742,785770,6003,1587,503609,176870,239.1062,0.0000,24.9346,295415,35573,140389,37390,82062,127371,32275,28135,54902,154906,47895,58127,255965,247644,249515,322,453,339561,0
"IPLAN",2050,33,15551,33787,2780,2022,53998,4669,107034,254612,1994724,23762,3420,1019289,360400,465.2501,175.4063,28.2114,476597,83953,235357,68187,89091,257225,69474,64347,127217,310824,91317,98873,513181,506110,508528,1222,933,591821,2220
"IPLAN",2050,41,4121,19307,834,1892,49303,4314,106589,147980,2046278,10826,1093,735175,252905,312.0054,68.6000,27.0230,328752,62868,204533,23060,38286,189950,56672,51147,85682,222546,58624,70560,369444,365730,342198,401,570,422070,1101
"IPLAN",2050,42,1516,670,2427,2078,61826,2833,68798,57453,782135,7459,10,472624,138100,205.6032,27.0000,36.3302,212871,21786,146328,17835,26920,152097,44446,35262,52859,143134,22458,22382,235703,236921,215569,172,293,239884,1794
"IPLAN",2050,43,4126,7772,2597,1366,35276,2862,69560,129327,1199390,3760,897,636375,215119,285.9205,0.0000,76.3037,266185,40700,157695,56769,11023,174968,49760,43214,70992,190105,48283,59056,322631,313745,304167,168,279,357815,11038
