"scenario","year","TZ28","pop","emp"
"tama282",2050,1,14419,4587
"tama283",2050,1,9359,1137
"tama284",2050,1,10022,2244
"tama285",2050,1,9990,1789
"tama286",2050,1,16232,9214
"tama287",2050,11,6778,2106
"tama288",2050,11,3733,1764
"tama289",2050,11,3145,679
"tama290",2050,11,9212,4319
"tama291",2050,11,5468,3104
"tama292",2050,11,0,2590
"tama293",2050,11,5219,1860
"tama294",2050,11,3988,1097
"tama295",2050,11,9478,5701
"tama296",2050,11,5736,2323
"tama297",2050,11,5986,1456
"tama298",2050,11,3900,382
"tama299",2050,11,4937,3232
"tama300",2050,11,3706,773
"tama301",2050,11,3816,2306
"tama302",2050,11,4084,2410
"tama303",2050,11,7021,1126
"tama304",2050,11,4375,854
"tama305",2050,11,0,206
"tama306",2050,11,4413,2128
"tama307",2050,11,0,18954
"tama308",2050,11,6492,1310
"tama309",2050,11,4424,7000
"tama310",2050,11,0,1815
"tama311",2050,11,12416,11954
"tama312",2050,11,0,17294
"tama313",2050,11,0,25552
"tama314",2050,11,0,3933
"tama315",2050,11,3635,1041
"tama316",2050,11,4902,876
"tama317",2050,11,7296,4622
"tama318",2050,11,2585,2341
"tama319",2050,11,6746,1963
"tama320",2050,11,5715,1385
"tama321",2050,11,7489,2735
"tama322",2050,11,7398,2709
"tama323",2050,11,6800,3245
"tama324",2050,11,7191,2000
"tama325",2050,11,4827,1421
"tama326",2050,11,4848,2004
"tama327",2050,9,5815,2127
"tama328",2050,9,4104,1311
"tama329",2050,11,1309,2132
"tama330",2050,11,0,8377
"tama331",2050,11,14879,6646
"tama332",2050,11,4975,4162
"tama333",2050,9,7155,2613
"tama334",2050,9,6689,4174
"tama335",2050,9,150,1707
"tama336",2050,9,0,4847
"tama337",2050,9,3559,1535
"tama338",2050,9,3088,1020
"tama339",2050,9,4162,2440
"tama340",2050,9,6029,1935
"tama341",2050,9,12419,5141
"tama342",2050,9,22910,9552
"tama343",2050,9,5258,1726
"tama344",2050,9,4885,2073
"tama345",2050,9,3244,1009
"tama346",2050,9,2025,427
"tama347",2050,9,7401,1820
"tama348",2050,9,1836,420
"tama349",2050,9,8695,2752
"tama350",2050,9,10561,3391
"tama351",2050,9,15564,5554
"tama352",2050,9,0,1920
"tama353",2050,9,6195,2345
"tama354",2050,9,8772,4534
"tama355",2050,9,5419,1143
"tama356",2050,9,8545,2926
"tama357",2050,9,6824,999
"tama358",2050,9,0,10247
"tama359",2050,9,7741,2931
"tama360",2050,9,1546,373
"tama361",2050,5,10132,3965
"tama362",2050,5,551,11894
"tama363",2050,5,1138,9397
"tama364",2050,5,6835,2274
"tama365",2050,5,3290,702
"tama366",2050,5,4424,1050
"tama367",2050,5,8206,1353
"tama368",2050,5,82,6582
"tama369",2050,5,368,5986
"tama370",2050,5,653,10721
"tama371",2050,5,4691,1470
"tama372",2050,5,7746,2655
"tama373",2050,5,10414,2581
"tama374",2050,5,9543,2592
"tama375",2050,5,2082,1858
"tama376",2050,5,9659,2168
"tama377",2050,5,9549,3797
"tama378",2050,5,7724,2486
"tama379",2050,5,3485,1029
"tama380",2050,5,12068,3910
"tama381",2050,5,8936,2089
"tama382",2050,5,2174,605
"tama383",2050,5,5280,3504
"tama384",2050,5,4143,1514
"tama385",2050,5,2926,727
"tama386",2050,5,6872,2358
"tama387",2050,5,9208,3423
"tama388",2050,5,6967,1557
"tama389",2050,5,7943,4262
"tama390",2050,5,5729,982
"tama391",2050,5,7023,1190
"tama392",2050,5,3030,674
"tama393",2050,5,5452,806
"tama394",2050,5,7079,915
"tama395",2050,5,2312,8294
"tama396",2050,5,254,3615
"tama397",2050,5,10768,2725
"tama398",2050,5,8008,1492
"tama399",2050,5,4037,1482
"tama400",2050,5,6578,1689
"tama401",2050,1,1330,1566
"tama402",2050,4,8897,1381
"tama403",2050,4,7662,2080
"tama404",2050,4,3633,866
"tama405",2050,4,5704,1250
"tama406",2050,4,3609,2781
