scenario,year,taz,pop,emp
conv,2050,4023,0,14164
conv,2050,4024,0,17776
conv,2050,4025,2694,3882
conv,2050,4026,0,10444
conv,2050,4027,0,5614
conv,2050,4028,597,12915
conv,2050,4029,1006,11143
conv,2050,4030,8355,1701
conv,2050,4031,7047,1763
conv,2050,4032,7729,4109
conv,2050,4033,6746,2590
conv,2050,4034,2963,339
conv,2050,4035,7491,1059
conv,2050,4036,8101,1004
conv,2050,4037,7588,1075
conv,2050,4038,21206,17624
conv,2050,4039,6245,1551
conv,2050,4040,12134,3970
conv,2050,4041,5201,967
conv,2050,4042,3638,653
conv,2050,4043,5937,899
conv,2050,4044,3467,514
conv,2050,4045,4207,894
conv,2050,4046,8016,14332
conv,2050,4047,3490,1075
conv,2050,4048,5155,772
conv,2050,4049,5116,574
conv,2050,4050,7778,1874
conv,2050,4051,11315,2689
conv,2050,4052,6762,1922
conv,2050,4053,3101,2820
conv,2050,4054,3923,1715
conv,2050,4055,2720,574
conv,2050,4056,10845,1535
conv,2050,4057,4394,229
conv,2050,4058,8297,2183
conv,2050,4059,7688,2453
conv,2050,4060,8241,4067
conv,2050,4061,3513,304
conv,2050,4062,4386,774
conv,2050,4063,4050,550
conv,2050,4064,5928,930
conv,2050,4065,8431,2158
conv,2050,4066,7327,1005
conv,2050,4067,4034,1506
conv,2050,4068,7756,1040
conv,2050,4069,17581,1670
conv,2050,4070,8421,1026
conv,2050,4071,6124,1158
conv,2050,4072,4199,523
conv,2050,4073,5824,866
conv,2050,4074,5902,744
conv,2050,4101,13217,2749
conv,2050,4102,9490,3932
conv,2050,4103,5023,2593
conv,2050,4104,7978,906
conv,2050,4105,9969,2239
conv,2050,4106,3770,1099
conv,2050,4201,9396,1265
conv,2050,4202,7636,1427
conv,2050,4203,6363,964
conv,2050,4204,3449,745
conv,2050,4301,2690,1288
conv,2050,4302,12215,4032
conv,2050,4401,5289,1222
conv,2050,4402,12399,4001
conv,2050,4501,1444,185
conv,2050,4502,6259,684
conv,2050,4503,6449,1323
conv,2050,4504,0,3979
conv,2050,4505,6613,4521
conv,2050,4506,15914,4132
conv,2050,4507,2166,278
conv,2050,4508,5972,3115
conv,2050,4509,3452,559
conv,2050,4510,0,3085
conv,2050,4601,0,9092
conv,2050,4602,0,30269
conv,2050,5001,13474,5807
conv,2050,5002,1881,559
conv,2050,5003,1504,867
conv,2050,5004,879,382
conv,2050,5005,1430,774
conv,2050,5006,10889,4091
conv,2050,5007,14164,13110
conv,2050,5008,4170,1661
conv,2050,5009,2899,1645
conv,2050,5102,3257,464
conv,2050,5103,5191,6269
conv,2050,5104,44,13928
conv,2050,5105,1877,3065
conv,2050,5106,7643,3318
conv,2050,5107,9452,1731
conv,2050,5108,4768,1317
conv,2050,5109,1857,641
conv,2050,5110,1770,334
conv,2050,5111,5920,7037
conv,2050,5112,9313,5898
conv,2050,5113,4640,1847
conv,2050,5114,5246,599
conv,2050,5115,4463,850
conv,2050,5116,5174,710
conv,2050,5117,2642,495
conv,2050,5118,4229,1443
conv,2050,5119,272,444
conv,2050,5120,6634,1134
conv,2050,5121,5527,854
conv,2050,5122,6207,6332
conv,2050,5123,6802,683
conv,2050,5201,4602,471
conv,2050,5202,3357,442
conv,2050,5203,2989,278
conv,2050,5204,3722,1541
conv,2050,5205,3063,596
conv,2050,5206,8083,637
conv,2050,5207,0,3866
conv,2050,5208,1718,5492
conv,2050,5209,4081,376
conv,2050,5210,1342,777
conv,2050,5211,3069,290
conv,2050,5212,3519,376
conv,2050,5213,4121,473
conv,2050,5214,13086,3099
conv,2050,5215,4279,356
conv,2050,5216,4551,721
conv,2050,5217,5694,520
conv,2050,5218,5044,601
conv,2050,5219,1654,2104
conv,2050,5220,1004,1068
conv,2050,5221,569,4496
conv,2050,5222,2539,5534
conv,2050,5223,8900,1529
conv,2050,5224,6013,681
conv,2050,5301,0,481
conv,2050,5302,13535,1408
conv,2050,5303,0,10963
conv,2050,5304,0,1290
conv,2050,5305,18269,4961
conv,2050,5306,6519,2273
conv,2050,5307,3528,1155
conv,2050,5308,7842,1984
