taz,superzone,pop_conv,emp_conv,pop_trends,emp_trends,pop_focus,emp_focus,pop_tama70,emp_tama70
1933,תל אביב -יפו,4758,696,4857,533,4758,696,6864,1392
1934,תל אביב -יפו,9996,2293,10203,1758,9996,2293,14419,4587
1935,תל אביב -יפו,6488,568,6623,436,6488,568,9359,1137
1936,תל אביב -יפו,6948,1122,7091,860,6948,1122,10022,2244
1937,תל אביב -יפו,6926,894,7069,686,6926,894,9990,1789
1939,תל אביב -יפו,11222,4558,11455,3495,11222,4558,16232,9214
2001,הרצלייה,5590,1606,3534,1008,5590,1606,6778,2106
2002,הרצלייה,3079,1346,1946,871,3079,1346,3733,1764
2003,הרצלייה,2594,517,1640,325,2594,517,3145,679
2004,הרצלייה,7827,2703,4948,1697,7827,2703,9212,4319
2005,הרצלייה,4510,2368,4371,1836,4510,2368,5468,3104
2006,הרצלייה,0,1944,0,1672,0,1944,0,2590
2007,הרצלייה,4209,1025,2709,674,4209,1025,5219,1860
2008,הרצלייה,3579,638,3536,469,3579,638,3988,1097
2009,הרצלייה,9013,3188,5697,2002,9013,3188,9478,5701
2010,הרצלייה,5145,1632,3396,1026,5145,1632,5736,2323
2011,הרצלייה,4937,1111,4636,797,4937,1111,5986,1456
2012,הרצלייה,3210,314,3172,213,3210,314,3900,382
2013,הרצלייה,4210,2836,3988,1938,4210,2836,4937,3232
2014,הרצלייה,3056,595,3019,442,3056,595,3706,773
2015,הרצלייה,3183,2044,3079,1608,3183,2044,3816,2306
2016,הרצלייה,3379,2191,3303,1723,3379,2191,4084,2410
2017,הרצלייה,5809,851,5630,598,5809,851,7021,1126
2018,הרצלייה,3608,651,3497,470,3608,651,4375,854
2019,הרצלייה,0,141,0,122,0,141,0,206
2020,הרצלייה,3800,1717,3683,1324,3800,1717,4413,2128
2021,הרצלייה,0,8034,0,4860,0,8034,0,18954
2022,הרצלייה,2831,1044,2744,797,2831,1044,6492,1310
2023,הרצלייה,3798,5699,3681,3578,3798,5699,4424,7000
2024,הרצלייה,0,1152,0,799,0,1152,0,1815
