year,code,NafaNum,population,employment
low_trnd,2045,16,853550.5613,0
low_trnd,2050,5,839578.7427,0
low_trnd,2050,12,889181.5393,0
low_trnd,2050,13,1357836.616,0
low_trnd,2050,6,63490.63935,0
low_trnd,2050,8,718329.03,0
low_trnd,2050,7,791850.0795,0
low_trnd,2050,4,725683.7026,0
low_trnd,2050,2,1960764.948,0
low_trnd,2050,3,195706.5015,0
low_trnd,2050,14,1271513.169,0
low_trnd,2050,10,516600.8858,0
low_trnd,2050,11,839178.6753,0
low_trnd,2050,9,702461.6515,0
low_trnd,2050,15,1863544.71,0
low_trnd,2050,1,193846.5931,0
low_trnd,2050,16,934502.9778,0
low_diur,2020,5,661824.684,0
low_diur,2020,12,572732.2345,0
low_diur,2020,13,790578.4623,0
low_diur,2020,6,52994.82367,0
low_diur,2020,8,479320.5491,0
low_diur,2020,7,596285.0461,0
low_diur,2020,4,539292.144,0
low_diur,2020,2,1186916.524,0
low_diur,2020,3,114584.6512,0
low_diur,2020,14,791483.9739,0
low_diur,2020,10,364456.0454,0
low_diur,2020,11,632419.6596,0
low_diur,2020,9,495372.2709,0
low_diur,2020,15,1474427.783,0
low_diur,2020,1,124281.8319,0
low_diur,2020,16,459109.1535,0
low_diur,2025,5,708126.4786,0
low_diur,2025,12,629136.7903,0
low_diur,2025,13,889041.1627,0
low_diur,2025,6,55651.12308,0
low_diur,2025,8,518850.4667,0
low_diur,2025,7,631883.311,0
low_diur,2025,4,574287.9572,0
low_diur,2025,2,1300488.557,0
low_diur,2025,3,124079.9496,0
low_diur,2025,14,849140.2381,0
low_diur,2025,10,377346.7157,0
low_diur,2025,11,665591.8307,0
low_diur,2025,9,529427.4027,0
low_diur,2025,15,1576522.774,0
low_diur,2025,1,133699.2898,0
low_diur,2025,16,507483.7159,0
low_diur,2030,5,758226.8453,0
low_diur,2030,12,697167.2326,0
low_diur,2030,13,1012069.536,0
low_diur,2030,6,58562.04656,0
low_diur,2030,8,561450.4557,0
low_diur,2030,7,676506.8071,0
low_diur,2030,4,611573.3368,0
low_diur,2030,2,1407192.759,0
low_diur,2030,3,137429.0494,0
low_diur,2030,14,912381.2229,0
low_diur,2030,10,391434.2824,0
low_diur,2030,11,707310.2745,0
low_diur,2030,9,549760.8318,0
low_diur,2030,15,1671605.465,0
low_diur,2030,1,146184.6967,0
low_diur,2030,16,549260.2703,0
low_diur,2035,5,794971.619,0
low_diur,2035,12,764836.0272,0
low_diur,2035,13,1109639.286,0
low_diur,2035,6,61244.20666,0
low_diur,2035,8,623515.2672,0
low_diur,2035,7,716661.9231,0
low_diur,2035,4,644003.3012,0
low_diur,2035,2,1505505.053,0
low_diur,2035,3,157311.4129,0
low_diur,2035,14,973967.8703,0
low_diur,2035,10,406905.3783,0
low_diur,2035,11,748601.166,0
low_diur,2035,9,568709.099,0
low_diur,2035,15,1759355.839,0
low_diur,2035,1,158619.8859,0
low_diur,2035,16,591839.2836,0
low_diur,2040,5,840516.7329,0
low_diur,2040,12,837028.9641,0
low_diur,2040,13,1201570.087,0
low_diur,2040,6,65335.60686,0
low_diur,2040,8,689280.7571,0
low_diur,2040,7,764999.5626,0
low_diur,2040,4,680048.4617,0
low_diur,2040,2,1586603.323,0
low_diur,2040,3,176818.7301,0
low_diur,2040,14,1036649.909,0
low_diur,2040,10,426488.5059,0
low_diur,2040,11,793804.0329,0
low_diur,2040,9,590066.8039,0
low_diur,2040,15,1859018.716,0
low_diur,2040,1,171099.9888,0
low_diur,2040,16,634504.3554,0
low_diur,2045,5,888347.9015,0
low_diur,2045,12,912079.8337,0
low_diur,2045,13,1300707.857,0
low_diur,2045,6,70176.23921,0
low_diur,2045,8,761284.2571,0
low_diur,2045,7,809183.2051,0
low_diur,2045,4,721595.7237,0
low_diur,2045,2,1675695.507,0
low_diur,2045,3,200890.093,0
low_diur,2045,14,1095139.412,0
low_diur,2045,10,447660.7024,0
low_diur,2045,11,838076.9659,0
low_diur,2045,9,612620.9673,0
low_diur,2045,15,1942540.512,0
low_diur,2045,1,183518.3503,0
low_diur,2045,16,677588.1466,0
low_diur,2050,5,938271.7914,0
low_diur,2050,12,979473.175,0
low_diur,2050,13,1389582.073,0
low_diur,2050,6,75284.12803,0
low_diur,2050,8,830635.2305,0
low_diur,2050,7,848299.219,0
low_diur,2050,4,762121.6181,0
low_diur,2050,2,1752598.23,0
low_diur,2050,3,222485.607,0
low_diur,2050,14,1147804.816,0
low_diur,2050,10,468135.5523,0
low_diur,2050,11,880646.3193,0
low_diur,2050,9,635260.6364,0
low_diur,2050,15,2029357.496,0
low_diur,2050,1,193807.9721,0
low_diur,2050,16,710306.5964,0
medium_trnd,2020,5,661824.684,0
medium_trnd,2020,12,572732.2345,0
medium_trnd,2020,13,790578.4623,0
medium_trnd,2020,6,52994.82367,0
medium_trnd,2020,8,479320.5491,0
medium_trnd,2020,7,596285.0461,0
medium_trnd,2020,4,539292.144,0
medium_trnd,2020,2,1186916.524,0
medium_trnd,2020,3,114584.6512,0
medium_trnd,2020,14,791483.9739,0
medium_trnd,2020,10,364456.0454,0
medium_trnd,2020,11,632419.6596,0
medium_trnd,2020,9,495372.2709,0
medium_trnd,2020,15,1474427.783,0
medium_trnd,2020,1,124281.8319,0
medium_trnd,2020,16,459109.1535,0
medium_trnd,2025,5,708904.1898,0
medium_trnd,2025,12,627494.4137,0
medium_trnd,2025,13,889491.8224,0
medium_trnd,2025,6,55892.35797,0
medium_trnd,2025,8,528328.9402,0
medium_trnd,2025,7,631225.6539,0
medium_trnd,2025,4,581519.2259,0
medium_trnd,2025,2,1335557.03,0
medium_trnd,2025,3,127641.974,0
medium_trnd,2025,14,880060.5813,0
medium_trnd,2025,10,393011.5189,0
medium_trnd,2025,11,675698.6183,0
medium_trnd,2025,9,538250.3792,0
medium_trnd,2025,15,1562289.779,0
medium_trnd,2025,1,136098.1358,0
medium_trnd,2025,16,539589.6178,0
medium_trnd,2030,5,756634.2681,0
medium_trnd,2030,12,690779.6326,0
medium_trnd,2030,13,1000697.907,0
medium_trnd,2030,6,58698.09983,0
medium_trnd,2030,8,579130.7375,0
medium_trnd,2030,7,674435.4696,0
medium_trnd,2030,4,626075.1343,0
medium_trnd,2030,2,1499727.795,0
medium_trnd,2030,3,142850.6063,0
medium_trnd,2030,14,975902.1455,0
