year,code,MahozNum,population,employment
low_diur,2045,1,1675695.507,0
low_diur,2045,4,2993498.0476,0
low_diur,2045,5,1942540.512,0
low_diur,2045,7,677588.1466,0
low_diur,2050,2,2191971.11663,0
low_diur,2050,6,2369055.248,0
low_diur,2050,3,1678934.4495,0
low_diur,2050,1,1752598.23,0
low_diur,2050,4,3131847.324,0
low_diur,2050,5,2029357.496,0
low_diur,2050,7,710306.5964,0
medium_trnd,2020,2,1492978.1347700001,0
medium_trnd,2020,6,1363310.6968,0
medium_trnd,2020,3,1075605.5952,0
medium_trnd,2020,1,1186916.524,0
medium_trnd,2020,4,2283731.9498,0
medium_trnd,2020,5,1474427.783,0
medium_trnd,2020,7,459109.1535,0
medium_trnd,2025,2,1610055.88347,0
medium_trnd,2025,6,1516986.2360999999,0
medium_trnd,2025,3,1159554.5940999999,0
medium_trnd,2025,1,1335557.03,0
medium_trnd,2025,4,2487021.0977,0
medium_trnd,2025,5,1562289.779,0
medium_trnd,2025,7,539589.6178,0
medium_trnd,2030,2,1734278.7946300001,0
medium_trnd,2030,6,1691477.5396,0
medium_trnd,2030,3,1253566.2071,0
medium_trnd,2030,1,1499727.795,0
medium_trnd,2030,4,2707726.0809,0
medium_trnd,2030,5,1660888.399,0
medium_trnd,2030,7,631084.2497,0
medium_trnd,2035,2,1855589.16571,0
medium_trnd,2035,6,1874614.0078,0
medium_trnd,2035,3,1346540.6099,0
medium_trnd,2035,1,1672305.264,0
medium_trnd,2035,4,2923940.8141,0
medium_trnd,2035,5,1755227.41,0
medium_trnd,2035,7,732752.7241,0
medium_trnd,2040,2,1979843.35506,0
medium_trnd,2040,6,2079888.3484,0
medium_trnd,2040,3,1450085.6586,0
medium_trnd,2040,1,1858599.683,0
medium_trnd,2040,4,3166123.3726000004,0
medium_trnd,2040,5,1859353.365,0
medium_trnd,2040,7,846733.0147,0
medium_trnd,2045,2,2112542.99779,0
medium_trnd,2045,6,2311987.6398,0
medium_trnd,2045,3,1565605.2913000002,0
medium_trnd,2045,1,2059338.341,0
medium_trnd,2045,4,3438060.2318,0
medium_trnd,2045,5,1966336.765,0
medium_trnd,2045,7,972690.8406,0
medium_trnd,2050,2,2250982.7843899997,0
medium_trnd,2050,6,2568721.799,0
medium_trnd,2050,3,1689642.3701,0
medium_trnd,2050,1,2271876.502,0
medium_trnd,2050,4,3723258.5063,0
medium_trnd,2050,5,2069700.17,0
medium_trnd,2050,7,1109323.618,0
medium_diur,2020,2,1492978.1347700001,0
medium_diur,2020,6,1363310.6968,0
medium_diur,2020,3,1075605.5952,0
medium_diur,2020,1,1186916.524,0
medium_diur,2020,4,2283731.9498,0
medium_diur,2020,5,1474427.783,0
medium_diur,2020,7,459109.1535,0
medium_diur,2025,2,1612357.86121,0
medium_diur,2025,6,1541240.2933999998,0
medium_diur,2025,3,1162733.6006,0
medium_diur,2025,1,1324743.052,0
medium_diur,2025,4,2452865.6119,0
medium_diur,2025,5,1596761.901,0
medium_diur,2025,7,520351.9178,0
medium_diur,2030,2,1752612.28762,0
medium_diur,2030,6,1766509.0040000002,0
medium_diur,2030,3,1267272.9989999998,0
medium_diur,2030,1,1463643.512,0
medium_diur,2030,4,2632352.2324,0
medium_diur,2030,5,1717551.507,0
medium_diur,2030,7,578807.5244,0
medium_diur,2035,2,1887240.48394,0
medium_diur,2035,6,1976739.5533,0
medium_diur,2035,3,1393362.7925,0
medium_diur,2035,1,1603335.898,0
medium_diur,2035,4,2819939.5604000003,0
medium_diur,2035,5,1836704.629,0
medium_diur,2035,7,643647.0788,0
medium_diur,2040,2,2045907.0504200002,0
medium_diur,2040,6,2199826.4661,0
medium_diur,2040,3,1540628.579,0
medium_diur,2040,1,1735442.408,0
medium_diur,2040,4,3030842.2143,0
medium_diur,2040,5,1974494.379,0
medium_diur,2040,7,713485.6995,0
medium_diur,2045,2,2224072.7272200002,0
medium_diur,2045,6,2449400.884,0
medium_diur,2045,3,1702655.8446,0
medium_diur,2045,1,1880266.527,0
medium_diur,2045,4,3268500.6006,0
medium_diur,2045,5,2112617.087,0
medium_diur,2045,7,789048.4375,0
medium_diur,2050,2,2415102.07101,0
medium_diur,2050,6,2707167.633,0
medium_diur,2050,3,1871293.1047999999,0
medium_diur,2050,1,2034429.581,0
medium_diur,2050,4,3523772.5899,0
medium_diur,2050,5,2265919.966,0
medium_diur,2050,7,865820.803,0
high_trnd,2020,2,1492978.1347700001,0
high_trnd,2020,6,1363310.6968,0
high_trnd,2020,3,1075605.5952,0
high_trnd,2020,1,1186916.524,0
high_trnd,2020,4,2283731.9498,0
high_trnd,2020,5,1474427.783,0
high_trnd,2020,7,459109.1535,0
high_trnd,2025,2,1628407.8550399998,0
high_trnd,2025,6,1538967.0531000001,0
high_trnd,2025,3,1173237.3557000002,0
high_trnd,2025,1,1358186.298,0
high_trnd,2025,4,2517470.8209,0
high_trnd,2025,5,1583015.926,0
high_trnd,2025,7,549647.9843,0
high_trnd,2030,2,1777635.9931899998,0
high_trnd,2030,6,1744291.1509,0
high_trnd,2030,3,1285670.7028,0
high_trnd,2030,1,1553546.559,0
high_trnd,2030,4,2780176.1541999998,0
high_trnd,2030,5,1706306.566,0
high_trnd,2030,7,656813.9595,0
high_trnd,2035,2,1930327.15854,0
high_trnd,2035,6,1967366.7056,0
high_trnd,2035,3,1401813.6162,0
high_trnd,2035,1,1766197.967,0
high_trnd,2035,4,3048677.9952,0
high_trnd,2035,5,1828574.347,0
high_trnd,2035,7,780277.2496,0
high_trnd,2040,2,2094240.58045,0
high_trnd,2040,6,2226678.5902,0
high_trnd,2040,3,1535755.508,0
high_trnd,2040,1,2005696.788,0
high_trnd,2040,4,3358686.3297,0
high_trnd,2040,5,1967038.931,0
high_trnd,2040,7,924518.2952,0
high_trnd,2045,2,2279545.9598,0
high_trnd,2045,6,2535958.524,0
high_trnd,2045,3,1692559.0496999999,0
high_trnd,2045,1,2280485.612,0
high_trnd,2045,4,3720880.3479,0
high_trnd,2045,5,2118299.452,0
high_trnd,2045,7,1094032.105,0
high_trnd,2050,2,2487650.7153400006,0
high_trnd,2050,6,2900811.424,0
high_trnd,2050,3,1872424.9260999998,0
high_trnd,2050,1,2593845.422,0
high_trnd,2050,4,4124305.0355,0
high_trnd,2050,5,2279451.084,0
high_trnd,2050,7,1291868.827,0
high_diur,2020,2,1492978.1347700001,0
high_diur,2020,6,1363310.6968,0
high_diur,2020,3,1075605.5952,0
high_diur,2020,1,1186916.524,0
high_diur,2020,4,2283731.9498,0
high_diur,2020,5,1474427.783,0
high_diur,2020,7,459109.1535,0
high_diur,2025,2,1629640.33653,0
high_diur,2025,6,1563898.2232,0
