taz1318,pop18,pop30,pop40,pop50,emp18,emp30,emp40,emp50
80170,5056,5619,6136,7216,550,635,712,874
80180,0,1844,4057,6762,0,277,1136,1677
80190,5105,6592,8156,10190,373,596,983,1390
80200,4862,5752,6617,7787,707,841,971,1146
80210,5122,5410,5662,6022,393,436,474,528
80220,2879,2926,2965,3054,963,970,976,989
80230,0,0,0,0,0,0,0,0
80240,5303,6473,7643,9203,1238,1413,1706,1940
80250,2553,2594,2630,2708,688,694,699,711
80260,3333,3732,4102,4431,1375,1645,2366,2800
80270,4170,4503,4800,5070,7583,7997,9195,9902
80280,4197,4483,4737,5097,1749,1791,1830,1884
81010,4977,5311,5607,5877,923,974,1018,1058
81020,3680,4011,4310,4580,825,875,920,960
81030,4283,4353,4411,4544,314,325,334,353
81040,3443,3773,4073,4343,7210,7606,8747,9422
81050,4570,4835,5068,5281,1493,1533,1568,1600
81060,5378,6147,6871,7511,1866,1982,2090,2186
81070,1518,1772,2016,2229,177,215,251,283
81080,0,0,0,0,481,481,481,481
81090,3933,7035,11422,18912,852,1472,2949,5195
81101,4916,7066,9562,14207,124,554,1425,2818
81102,983,2538,5595,7571,289,522,1580,1877
81110,4202,4392,4558,4913,982,1011,1036,1089
81120,3660,3850,4016,4371,1179,1207,1232,1285
81130,3959,4149,4315,4670,393,421,446,500
81140,3630,3820,3986,4341,668,696,721,775
81150,3141,3192,3235,3332,452,460,466,481
81160,4578,4652,4715,4857,570,581,590,612
81170,0,0,0,0,0,0,0,0
81180,0,0,0,0,236,236,236,236
82010,5284,5820,6309,6748,2161,2242,2315,2381
82020,3679,4207,4704,5143,864,944,1018,1084
82030,2920,3189,3432,3652,1100,1141,1177,1210
82040,5922,6716,7459,8118,1749,1868,1979,2078
82050,5791,6329,6816,7255,236,316,389,455
82061,0,0,0,0,8515,9152,9682,10159
82062,0,0,0,0,14432,15069,15599,16075
82070,0,0,0,0,6915,7552,8083,8559
82080,11255,12270,13185,14012,1061,1213,1350,1474
82090,0,0,0,0,0,0,0,0
82100,0,0,0,0,0,0,0,0
82111,5909,7284,8671,9854,5579,5987,6969,7514
82112,0,0,0,0,0,0,0,0
82120,0,0,0,0,2390,4209,5725,7701
82130,0,4295,9450,10500,0,5659,10816,14305
82140,5697,5928,6128,6312,373,408,438,466
82151,5273,5504,5704,5888,935,970,1000,1027
82152,9646,9878,10077,10261,401,436,465,493
82160,7435,7667,7866,8050,1100,1135,1165,1192
82170,9539,9771,9970,10154,2534,2569,2599,2627
82180,0,0,0,0,0,0,0,0
82190,7213,7445,7644,7828,1120,1155,1184,1212
82201,4681,4911,5112,5296,255,290,320,348
82202,6320,6423,6510,6705,255,271,284,313
83010,4075,7563,12661,13615,397,1094,2801,2944
83020,6399,6665,6896,7020,641,681,715,734
83030,3340,3732,4094,4282,732,791,845,874
83040,4523,4786,5017,5141,2731,2902,3352,3610
83050,762,1565,2850,3372,24,144,441,520
83060,0,196,432,540,0,29,65,81
83070,7433,7553,7655,7885,528,546,561,596
83080,4385,4456,4516,4652,458,468,477,498
83090,6089,6188,6272,6460,1877,1892,1904,1932
83100,6905,7067,7205,7280,1648,1672,1693,1704
83110,0,0,0,0,2655,4110,5323,6675
83120,0,0,0,0,1167,1307,1751,2008
83130,0,982,2160,2700,2724,3198,4517,5198
83140,6295,6295,6295,8245,397,435,555,918
83150,0,0,0,1800,0,0,0,270
84000,0,0,0,0,20,21,24,25
84010,658,806,954,1086,1092,1245,1683,1943
84020,390,478,566,644,355,368,381,393
84030,1423,1743,2063,2348,1231,1279,1327,1370
84040,1232,1509,1786,2033,698,739,781,818
84050,989,1211,1434,1632,397,430,463,493
84060,1308,1602,1897,2158,397,441,485,524
85001,0,0,0,0,0,0,0,0
85002,0,0,0,0,0,0,0,0
86010,3072,5789,5789,6264,1128,1672,1672,1743
86020,4816,8277,8277,8882,799,1491,1491,1582
86031,4542,6738,6738,7397,48,487,487,586
86032,4692,5306,5880,6237,1434,1698,2327,2695
86033,4692,5619,6531,7083,48,187,324,407
86034,4542,4542,4542,4542,191,191,191,191
86035,13625,15663,15663,16614,191,599,599,741
86040,0,1926,4238,5509,0,4109,8189,11937
86050,699,1141,1718,2023,0,1594,2954,4423
86060,0,0,0,0,1589,3117,4390,5813
86070,0,310,683,887,4767,9397,13273,17572
86080,786,867,941,1194,1077,1089,1100,1138
86090,3965,4298,4598,5631,1128,1178,1223,1378
86100,3546,3984,4390,5769,1092,1158,1219,1426
86110,3436,3805,4142,4353,454,510,560,592
86120,4879,5042,5181,5675,752,777,798,872
86130,2314,3568,5120,5961,987,1175,1548,1675
