"scenario","year","ravtaz","pop","hh","hhsize","empd","empi","empe","emp","school","yeshiva","college","ind","htl","bsn","pub","edu","agr"
"base",2015,61,14826.1037,3650.5504,25.2374,0.0000,0.0000,0.0000,2359.0825,5021.0000,190.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2015,62,6349.8075,944.5742,13.5547,0.0000,0.0000,0.0000,386.8157,1617.0000,458.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2015,63,20346.3724,5988.5761,30.6491,0.0000,0.0000,0.0000,1216.3787,2652.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2015,64,24306.0105,6692.2843,37.1912,0.0000,0.0000,0.0000,2216.3017,2832.0000,20.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2015,65,44717.1549,9360.3824,14.7392,0.0000,0.0000,0.0000,1606.0700,3772.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2015,66,31023.4609,7549.5616,41.2000,0.0000,0.0000,0.0000,2583.0565,14146.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2015,67,26898.0082,6734.2321,36.0000,0.0000,0.0000,0.0000,1661.7100,13237.0000,0.0000,3000.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2015,68,1102.0000,290.0000,7.54054,0.0000,0.0000,0.0000,7391.5600,644.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2015,69,45634.1101,9820.9969,9.29317,0.0000,0.0000,0.0000,1605.0000,10224.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2015,7,1154.4290,519.6154,2.2217,0.0000,0.0000,0.0000,14074.0470,2236.0000,24.0000,5838.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2015,70,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2015,71,39732.8517,10332.6491,69.4617,132.1742,0.0000,37.8972,7788.5731,11005.9582,311.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2015,72,46227.3510,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2015,73,214083.2790,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2015,74,28335.5899,5942.6954,37.0793,1188.5391,800.0000,760.6978,2749.2369,11410.4669,86.0180,1762.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2015,75,50211.4001,8441.5237,65.9513,1688.3047,0.0000,1753.5117,3441.8164,26302.6757,4288.6734,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2015,76,43316.7593,10988.7359,50.0593,197.7436,0.0000,83.2400,5727.8349,9525.9000,422.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2015,77,30146.1745,9517.8898,53.9809,0.0000,0.0000,0.0000,2178.7275,5097.0000,106.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2015,78,16387.3435,3817.9070,26.9220,848.1510,0.0000,352.2936,1200.4447,5284.4044,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2015,79,43530.1476,8387.2504,66.0538,1939.7542,1050.0000,1257.7923,4247.5465,18866.8842,488.7325,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2015,8,2063.1074,787.7771,9.12741,0.0000,0.0000,0.0000,5691.2933,301.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2015,80,223833.6065,610.7692,5.1,152.6923,0.0000,102.3593,370.2906,1535.3888,287.1431,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2015,82,8422.5478,1545.0530,16.1000,369.1424,0.0000,210.1031,579.2456,3151.5471,601.2547,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2015,83,394481.8376,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2015,84,10595.0000,2792.0000,11.3552,0.0000,0.0000,0.0000,712.4600,824.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2015,85,1324.0000,20469.0000,7.20278,0.0000,0.0000,0.0000,135.9800,107.0000,37.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2015,86,19098.2976,4683.8595,28.1914,120.2149,200.0000,84.7752,2522.3101,6023.6285,17.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2015,87,88487.1627,23969.7249,59.8146,0.0000,0.0000,0.0000,9836.3250,26736.5000,144.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2015,88,73431.9838,11229.8428,52.9500,2818.2940,250.0000,2566.0274,5984.3214,38490.4107,5422.1484,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2015,89,10760.6933,1986.0705,16.3000,442.9180,0.0000,325.3088,768.2268,4879.6322,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2015,9,9187.8133,4538.5906,21.8965,0.0000,0.0000,0.0000,5231.2030,1016.0000,1456.0000,360.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2015,90,186713.9373,237.6348,4.2,79.2116,0.0000,19.9780,99.1896,299.6699,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2015,91,84944.8022,19295.7909,77.5000,4093.8188,9800.0000,1898.1249,15791.9436,28471.8731,292.0188,15000.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2015,92,399209.6083,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2015,93,6230.0101,958.4631,6.5,191.6926,0.0000,191.8570,383.5496,2877.8547,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2015,94,357332.5064,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2015,95,2742.0000,706.4286,7.5,55.8095,1000.0000,67.6333,1123.4429,1014.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2015,96,362593.9108,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2015,97,4319.1094,1050.3140,12.8000,350.1047,0.0000,101.2763,451.3810,1519.1444,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2015,98,51353.1009,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2015,99,278550.9459,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,1,9381.6614,3991.7419,35.5457,0.0000,0.0000,0.0000,33261.2565,1762.5149,68.0000,3054.4500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,10,24628.0895,5747.6968,34.7744,0.0000,0.0000,0.0000,10448.4517,14680.2328,7071.0227,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,100,7190.7202,1383.0774,26.0000,318.9346,250.0000,187.8363,756.7709,2817.5447,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,11,1878.2313,1100.3571,3.41386,0.0000,0.0000,0.0000,7894.8822,0.0000,0.0000,20965.9100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,12,17618.0400,3709.8000,19.0127,0.0000,0.0000,0.0000,1561.0952,4645.2782,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,13,28725.3934,6938.2707,25.3061,0.0000,0.0000,0.0000,4078.0696,8368.2273,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,14,9815.6290,2392.9972,19.3928,0.0000,0.0000,0.0000,5431.3354,3490.3996,64.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,15,6982.7066,2678.7053,11.9917,0.0000,0.0000,0.0000,4088.2097,1262.7326,23.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,2,36119.9727,7342.8379,62.5823,0.0000,0.0000,0.0000,10917.2713,22221.5499,17320.4409,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,21,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,22,20480.1701,4068.1390,15.0943,0.0000,0.0000,0.0000,1717.3618,4771.1910,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,23,22026.7557,4627.5795,14.2797,0.0000,0.0000,0.0000,1739.1202,4800.3072,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,24,30605.9994,5700.8992,16.1070,0.0000,0.0000,0.0000,1774.5461,3837.0300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,25,25985.4891,5402.9662,19.3952,0.0000,0.0000,0.0000,2125.4826,7707.5250,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,26,22535.4156,4896.4526,17.9505,0.0000,0.0000,0.0000,2376.9430,11751.1605,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,3,2503.9800,572.4039,41.0192,0.0000,0.0000,0.0000,12836.8015,5748.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,31,1119.9523,320.8246,10.5034,0.0000,0.0000,0.0000,16499.1377,453.9333,34.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,32,18981.1529,6889.3036,30.3357,0.0000,0.0000,0.0000,3522.6012,3430.1229,320.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,33,15205.4515,5363.7236,16.7819,0.0000,0.0000,0.0000,1964.7911,2378.3004,47.0000,148.3500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,34,26913.9704,7062.0000,19.0135,0.0000,0.0000,0.0000,2038.5591,5508.9571,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,35,15579.5361,4794.3529,16.5818,0.0000,0.0000,0.0000,1727.8718,2950.1841,121.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,36,18912.0587,5757.1309,23.6496,0.0000,0.0000,0.0000,2012.3692,3285.2068,82.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,37,14313.0345,3588.0674,32.5538,0.0000,0.0000,0.0000,1442.1529,4500.1449,74.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,38,18692.5100,6484.5320,26.7819,0.0000,0.0000,0.0000,2848.6704,4688.7218,434.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,39,15784.3018,7106.9827,20.7446,0.0000,0.0000,0.0000,3400.0283,3736.5065,44.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,4,36721.1200,7216.9368,19.1329,0.0000,0.0000,0.0000,11380.4904,7226.7504,1482.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
