taz,area,type,cultural,education,office,shopping,health,religiosit,urban,transporta,empl_indu,empl_comm,empl_serv,empl_tot,students,population,households,parkcost,parkwalk,popdens,ga21,ga22,ga23,ga24,ga25,ga26,ga11,ga12,ga13,ga14,ga15,ga16,workers,workperc,avgHH,soceco,Mlic2,Mlic3,Mlic4,Mlic5,Mlic6,Flic2,Flic3,Flic4,Flic5,Flic6,emp2pop,parkcap,parkAM,parkPM,parkOP,INTLSUME,INTLSUMO,INTLSUMS,INTLSUMW,LSIZESEC,LSIZEINTS,LSUMSIZE0,LSUMSIZES,Hh0car,HH1car,HH2car,HH3car
1218,0.154,3,0,0,0,0,0,0,1,0,84,98,344,526,0,2744,1144,3,3,17.7864,243,75,65,233,497,275,236,73,63,228,486,269,1445,0.5266,2.4,16,0.43,0.94,0.95,0.98,1.02,0.37,0.94,0.9,1,1.06,0.192,544,0.00415,0.00722,0.00707,1.276294,2.074581,2.301219,1.072704,2.526088,4.065687,2.502403,2.124102,50,301,706,86
1220,0.613,3,0,0,0,0,0,0,1,0,220,215,622,1057,0,6049,3092,3,3,9.8759,573,160,173,503,1078,570,560,157,170,492,1055,558,3079,0.50901,1.96,14,0.41,0.91,0.92,0.98,1.02,0.34,0.85,0.81,0.91,0.95,0.175,1842,0.00071,0.00162,0.00157,2.290569,2.945394,3.087678,1.888341,3.456368,4.85641,3.476622,3.073681,998,1669,384,41
1301,0.279,5,1,0,0,2,0,0,1,0,208,731,309,1248,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.28,0.72,0.59,0.72,0.73,0.16,0.44,0.23,0.34,0.33,15,1031,0.00124,0.00286,0.00278,-1.276379,0.811613,1.540925,0.873199,2.094269,3.855222,1.160766,1.46589,0,0,0,0
1302,0.228,3,0,3,0,0,0,0,1,0,218,150,667,1035,0,4245,2653,3,3,18.6566,255,29,63,691,664,425,254,29,63,687,661,423,2668,0.6285,1.6,16,0.43,0.94,0.95,0.98,1.02,0.37,0.94,0.9,1,1.06,0.244,865,0.00273,0.00466,0.00457,2.101657,2.691793,2.786011,1.607019,3.321694,4.645524,3.32353,2.926887,1309,1168,155,20
1303,0.118,3,0,0,0,0,0,0,1,0,38,275,258,571,0,2014,1418,3,3,17.1039,112,19,39,325,339,188,109,19,38,315,330,183,1308,0.64945,1.42,15,0.42,0.92,0.94,0.99,1.03,0.35,0.9,0.86,0.96,1.01,0.284,461,0.00473,0.00836,0.00818,1.47433,2.017223,2.077522,0.928272,2.702516,3.978316,2.699624,2.305835,817,536,57,8
1304,0.072,3,0,0,0,2,0,0,1,0,111,108,364,583,0,1725,1145,3,3,23.9602,97,20,42,290,270,189,87,18,37,260,243,170,926,0.53681,1.51,15,0.42,0.92,0.94,0.99,1.03,0.35,0.9,0.86,0.96,1.01,0.338,348,0.00864,0.01344,0.01321,1.25392,1.855163,1.965777,0.828309,2.548525,3.888244,2.507324,2.136988,673,421,44,7
1305,0.116,3,0,2,0,2,0,0,1,0,149,423,636,1208,0,2105,1482,3,3,18.2004,121,21,43,346,337,211,115,20,41,329,320,201,1399,0.66461,1.42,15,0.42,0.92,0.94,0.99,1.03,0.35,0.9,0.86,0.96,1.01,0.574,621,0.00376,0.00645,0.00633,1.516851,2.176514,2.350225,1.301034,2.966462,4.367313,2.831147,2.522737,902,521,52,8
1306,0.208,3,0,2,0,0,0,0,1,0,287,739,809,1835,0,2844,2001,3,3,13.6484,169,36,66,449,462,288,158,34,62,420,431,269,1775,0.62412,1.42,15,0.42,0.92,0.94,0.99,1.03,0.35,0.9,0.86,0.96,1.01,0.645,1018,0.00176,0.0034,0.00333,1.825554,2.507983,2.703759,1.678688,3.316316,4.737828,3.154205,2.864574,1064,824,99,14
1307,0.341,10,1,0,0,0,0,0,1,0,174,1646,713,2533,0,166,184,3,3,0.4866,8,1,2,23,27,21,8,1,2,24,28,22,122,0.73494,0.9,14,0.41,0.91,0.92,0.98,1.02,0.34,0.85,0.81,0.91,0.95,15,1519,0.00088,0.00198,0.00193,-0.113519,1.617406,2.275614,1.560602,2.874097,4.59211,2.078945,2.263009,120,58,5,1
1308,0.107,3,0,0,0,2,0,0,1,0,226,283,426,935,0,2759,1634,3,3,25.7369,119,25,57,446,422,342,114,24,53,426,403,327,1734,0.62849,1.69,14,0.41,0.91,0.92,0.98,1.02,0.34,0.85,0.81,0.91,0.95,0.339,532,0.00606,0.0092,0.00905,1.610438,2.277346,2.435504,1.290727,2.939235,4.342859,2.87684,2.520258,935,622,67,10
1309,0.108,3,0,0,0,2,0,0,1,0,84,428,470,982,0,1882,1326,3,3,17.4652,88,17,41,295,290,189,92,18,43,307,302,197,1255,0.66684,1.42,15,0.42,0.92,0.94,0.99,1.03,0.35,0.9,0.86,0.96,1.01,0.522,541,0.00414,0.00723,0.00708,1.406673,2.045551,2.201261,1.138561,2.819105,4.201739,2.70489,2.382701,791,479,49,7
1310,0.058,3,0,0,0,2,0,0,1,0,33,133,294,460,0,1592,898,3,3,27.4919,93,33,33,245,266,185,80,29,29,211,230,160,831,0.52198,1.77,15,0.42,0.92,0.94,0.99,1.03,0.35,0.9,0.86,0.96,1.01,0.289,281,0.01222,0.01817,0.01789,1.011456,1.684537,1.841635,0.669788,2.307409,3.716203,2.265155,1.895565,441,397,53,7
1311,0.136,3,0,3,0,2,0,0,1,0,134,148,675,957,0,3705,2453,3,3,27.2052,238,31,63,605,611,401,214,28,57,544,550,361,2593,0.69987,1.51,14,0.41,0.91,0.92,0.98,1.02,0.34,0.85,0.81,0.91,0.95,0.258,614,0.00552,0.00825,0.00811,2.01342,2.582532,2.65884,1.481103,3.240421,4.540124,3.242258,2.844205,1278,1031,127,17
1312,0.163,3,0,0,0,0,0,0,1,0,119,102,1437,1658,0,3851,2548,3,3,23.6606,217,27,71,786,632,361,182,22,59,660,531,303,2490,0.64659,1.51,16,0.43,0.94,0.95,0.98,1.02,0.37,0.94,0.9,1,1.06,0.431,862,0.00346,0.00539,0.0053,2.054151,2.695812,2.844721,1.74335,3.425115,4.806999,3.33768,2.997266,1395,1019,117,16
1313,0.175,3,0,3,0,2,0,0,1,0,69,550,1166,1785,0,3953,2965,3,3,22.5476,200,31,58,787,647,365,179,27,52,703,579,326,2725,0.68935,1.33,17,0.43,0.94,0.96,0.97,0.99,0.36,0.99,0.95,0.97,1.01,0.452,927,0.00307,0.00487,0.00479,2.204167,2.783897,2.887743,1.801244,3.55059,4.874871,3.478476,3.127905,1597,1207,142,20
1314,0.137,8,2,3,1,2,0,0,1,0,583,851,3931,5365,0,2281,1711,3,3,16.6347,108,21,47,471,331,258,91,17,40,398,280,219,1597,0.70013,1.33,15,0.42,0.92,0.94,0.99,1.03,0.35,0.9,0.86,0.96,1.01,2.352,1749,0.00131,0.00226,0.00222,1.661219,2.786569,3.244297,2.386881,3.858016,5.475298,3.362398,3.3063,1012,625,64,10
1315,0.132,3,0,0,0,2,0,0,1,0,262,383,698,1343,0,2844,2001,3,3,21.4976,133,30,51,505,426,298,130,29,50,490,414,288,1802,0.63361,1.42,16,0.43,0.94,0.95,0.98,1.02,0.37,0.94,0.9,1,1.06,0.472,700,0.00389,0.00627,0.00616,1.813219,2.435929,2.574829,1.492554,3.194239,4.560139,3.100533,2.764301,1171,741,78,11
1316,0.088,3,0,0,2,2,0,0,1,0,147,132,447,726,0,1591,1122,3,3,17.9898,82,14,29,277,240,178,77,13,27,260,225,167,1108,0.69642,1.42,15,0.42,0.92,0.94,0.99,1.03,0.35,0.9,0.86,0.96,1.01,0.456,426,0.00541,0.00933,0.00914,1.238825,1.852043,1.983773,0.900322,2.604258,3.961912,2.518066,2.177464,647,423,45,7
1317,0.049,3,0,0,0,0,0,0,1,0,111,116,344,571,0,1173,779,3,3,23.9181,54,9,29,228,172,84,56,10,30,236,178,87,541,0.46121,1.51,15,0.42,0.92,0.94,0.99,1.03,0.35,0.9,0.86,0.96,1.01,0.487,285,0.01057,0.01642,0.01614,0.868797,1.531259,1.699209,0.616728,2.281964,3.683165,2.16978,1.845522,464,282,29,4
1318,0.089,3,0,0,2,2,0,0,1,0,206,120,973,1299,0,2022,1424,3,3,22.804,90,20,46,410,308,163,86,19,43,390,293,155,1434,0.7092,1.42,15,0.42,0.92,0.94,0.99,1.03,0.35,0.9,0.86,0.96,1.01,0.642,576,0.00502,0.00792,0.00778,1.471786,2.159366,2.35514,1.319321,2.970885,4.393461,2.809481,2.517813,771,577,67,9
1319,0.066,3,0,0,0,2,0,0,1,0,68,110,361,539,0,2120,1593,3,3,32.1153,91,16,49,432,328,182,84,15,45,403,306,169,1504,0.70943,1.33,13,0.4,0.9,0.91,0.96,1,0.32,0.81,0.77,0.87,0.9,0.254,324,0.0123,0.01747,0.01722,1.577104,2.078953,2.095401,0.92097,2.775595,3.997888,2.797545,2.386164,947,578,59,9
