"scenario","year","nafanum","empl_indu","empl_comm","empl_serv","empl_tot","students","population","households","parkcost","parkwalk","ga21","ga22","ga23","ga24","ga25","ga26","ga11","ga12","ga13","ga14","ga15","ga16","workers","Mlic2","Mlic3","Mlic4","Mlic5","Mlic6","Flic2","Flic3","Flic4","Flic5","Flic6","emp2pop","Hh0car","HH1car","HH2car","HH3car"
"base",2030,12,39852,18941,41301,100096,10184,263127,85135,153,153,33781,9702,9151,17110,42646,22318,32510,9317,8723,16289,40526,21018,117588,17.4200,41.0300,40.3700,42.9700,43.2900,12.1200,29.0800,26.5600,30.8500,30.3800,100.7290,31398,37999,14060,1686
"base",2030,14,121423,80460,217249,419114,11652,958138,319522,714,714,129892,34101,31140,59874,165287,66284,126968,33256,30247,57938,159822,63244,456681,93.3100,209.8000,209.3700,220.3100,223.1500,73.0400,185.4300,176.9000,194.0300,194.7600,534.1120,59777,119253,122435,18064
"base",2030,15,204901,166627,543909,915461,123881,1643522,670943,1623,1623,179956,46818,51078,137018,273103,155308,172267,45197,48799,130924,258420,144524,784324,205.2700,466.8000,464.5000,489.7700,493.6800,156.6800,393.4900,373.3100,409.0400,406.8900,1472.8680,242644,276075,134151,18063
"base",2030,9,76102,42934,105833,224869,11947,620930,204034,411,411,82502,23770,21515,38117,104040,41705,82494,23863,21408,37771,103234,40386,284464,50.9400,116.5500,115.6900,122.3600,124.0300,38.2200,94.4400,89.0500,100.4000,100.3500,-339.9760,64700,86575,46545,6212
"base",2040,10,115796,62467,112136,290398,7000,564432,182043,324,324,81623,21897,18190,32592,91431,28240,82327,22201,18550,33120,92162,28216,265577,40.3000,93.0400,91.5000,97.3500,100.9400,30.4800,75.6600,68.9800,79.2100,81.6500,264.2440,36429,74123,62585,8907
"base",2040,11,106028,68544,171581,346145,29283,853096,303420,522,522,102241,30841,28790,54495,149178,66605,100165,30186,28039,52990,145227,64253,422983,66.2900,151.8300,150.3500,159.1900,165.3800,51.5500,129.5000,119.0100,136.0200,140.7800,406.4900,61161,123324,104345,14598
"base",2040,12,46651,22888,46961,116503,15634,286198,96559,153,153,35863,10630,9954,18147,45642,26219,34527,10220,9499,17295,43419,24739,131641,17.6900,41.9600,40.8800,43.5400,45.3000,12.5800,30.4600,27.0700,32.0900,32.7500,101.1240,30366,43514,20286,2392
"base",2040,14,148140,97402,262554,508086,13604,1125170,388992,714,714,151207,40266,36566,68850,190536,83522,147994,39334,35547,66748,184553,79913,545089,94.0200,211.8400,211.4300,221.9200,229.2700,74.9600,191.3700,178.7400,198.4400,205.9100,526.5920,63492,141148,160578,23778
"base",2040,15,236167,186059,605392,1027634,152774,1809158,763730,1632,1632,193369,51580,55960,145202,294201,185264,185363,51065,54155,139032,279017,174418,880795,208.9700,475.4900,472.2500,497.7900,511.9200,162.0200,409.2000,380.4000,421.9000,433.8700,1449.5480,254134,325405,163027,21186
"base",2040,9,94962,52503,130605,278081,13947,718185,246122,411,411,93375,27759,25089,43067,118595,52260,93505,27890,25016,42788,117904,50776,338156,51.4500,118.3500,117.0600,123.6000,128.5000,39.4200,98.1000,90.4200,103.6600,107.2400,19.5820,64830,105880,66676,8728
