NEW_TAZ_1046,taz_848,mahoz,EMP_2050_B,POP_2050_B,EMP_2050_M,POP_2050_M,EMP_2050_H,POP_2050_H
466,466,tlv,732.65228,6790.58285,725.796415,6667.539594,738.581942,6939.426176
467,467,tlv,6697.349029,9834.84274,6634.677935,9656.638439,6751.55348,10050.41344
468,468,tlv,6697.349637,35994.73774,6634.678537,35342.52425,6751.554093,36783.70926
469,469,tlv,6697.350841,10165.01502,6634.67973,9980.828095,6751.555307,10387.82279
471,471,tlv,5200.871419,0,5152.20376,0,5242.96425,0
472,472,tlv,11643.09862,31037.38579,11534.14719,30474.99798,11737.33109,31717.69672
473,473,tlv,9815.20457,36372.58832,9723.35784,35713.5283,9894.643132,37169.84198
474,474,tlv,6247.707218,703.255026,6189.243691,690.512263,6298.27253,718.669729
475,475,tlv,9815.204654,62089.07506,9723.357922,60964.04027,9894.643216,63450.01045
476,476,tlv,3808.898663,19175.02305,3773.256523,18827.57758,3839.725675,19595.32191
477,477,tlv,2049.102918,11430.87406,2029.928239,11223.75017,2065.687167,11681.4283
478,478,tlv,2339.453103,2766.533754,2317.561443,2716.40502,2358.387277,2827.173627
479,479,tlv,4304.919415,15711.19406,4264.635713,15426.51209,4339.760931,16055.56897
482,482,tlv,9968.476834,77744.24711,9875.195843,76335.54546,10049.15589,79448.32946
483,483,tlv,9968.476834,37026.97308,9875.195843,36356.05581,10049.15589,37838.57026
484,484,tlv,20622.91251,95443.62656,20429.9316,93714.21764,20789.82238,97535.66302
485,485,merkaz,50.271894,0,48.277861,0,50.60801,0
486,486,merkaz,19246.13466,25888.21352,18482.73744,24256.16541,19374.81374,26326.93813
489,489,merkaz,27705.16559,40427.78504,26606.24122,37879.13137,27890.40149,41112.91011
490,490,merkaz,17463.01339,91933.62905,16770.34361,86137.93729,17579.77057,93491.6178
491,491,merkaz,3941.006878,13573.02946,3784.686986,12717.35678,3967.356331,13803.05005
493,493,tlv,9621.77915,47165.54607,9240.131634,44192.1296,9686.110074,47964.85521
494,494,tlv,1494.724359,12568.00168,1480.737331,12340.27339,1506.82179,12843.48071
495,495,tlv,8697.807237,57062.58957,8616.416661,56028.63314,8768.202234,58313.34902
496,496,tlv,1436.252624,15225.77981,1379.283717,14265.91423,1445.855366,15483.80937
497,497,merkaz,3007.019078,4893.652414,2887.745777,4585.146144,3027.123916,4976.584585
498,498,tlv,11095.10325,53381.82428,10991.27974,52414.56217,11184.90056,54551.90474
499,499,tlv,13636.13771,0,13095.26081,0,13727.30851,0
500,500,merkaz,12577.16851,0,12078.29559,0,12661.25908,0
501,501,merkaz,3007.01887,12499.22927,2887.745578,11711.25124,3027.123707,12711.05228
502,502,merkaz,10576.87315,40826.34652,10157.34186,38252.56669,10647.5898,41518.22597
503,503,merkaz,0,0,0,0,0,0
504,504,merkaz,8934.154217,60897.1284,8579.78132,57058.04374,8993.887702,61929.14511
505,505,tlv,5386.116684,22843.86876,5335.715574,22429.94494,5429.708782,23344.58534
506,506,tlv,2222.367483,14755.24401,2201.571463,14487.88356,2240.354033,15078.66537
507,507,tlv,4789.440661,39406.12059,4744.623004,38692.0939,4828.20361,40269.86649
508,508,tlv,4593.048458,33547.64864,4550.068561,32939.77565,4630.221923,34282.98222
509,509,tlv,2222.367185,13208.08295,2201.571168,12968.75658,2240.353733,13497.59197
510,510,tlv,4789.441006,15788.67131,4744.623347,15502.58548,4828.203958,16134.74445
511,511,tlv,4534.783362,33467.78748,4492.348686,32861.36154,4571.485263,34201.37058
512,512,tlv,8912.289972,32468.92695,8828.892352,31880.60006,8984.420868,33180.61595
513,513,tlv,8912.284072,28112.32166,8828.886507,27602.93511,8984.41492,28728.51788
514,514,tlv,6738.995232,35445.24525,6675.934429,34802.9884,6793.536743,36222.17241
515,515,tlv,9506.955866,60419.14237,9417.993602,59324.36624,9583.899642,61743.47436
516,516,tlv,50361.39079,0,49890.12918,0,50768.98662,0
517,517,tlv,6738.99274,33362.8952,6675.931961,32758.36988,6793.534231,34094.17916
518,518,tlv,2097.931429,30663.11108,2078.299831,30107.50501,2114.910866,31335.21825
519,519,tlv,8950.992742,26401.86241,8867.232958,25923.46884,9023.436876,26980.56693
520,520,merkaz,9420.867818,12344.45444,9047.189444,11566.23374,9483.855455,12553.6545
521,521,merkaz,471.761438,21178.60631,453.049038,19843.46187,474.91562,21537.51775
522,522,merkaz,5548.984128,13097.68091,5328.883877,12271.97521,5586.084468,13319.64582
523,523,merkaz,28736.26474,0,27596.44186,0,28928.39454,0
525,525,merkaz,11382.11824,37476.96748,10930.64694,35114.33964,11458.21874,38112.08538
526,526,merkaz,14335.81556,49353.36826,13767.18596,46242.02682,14431.66438,50189.75417
527,527,merkaz,1726.625541,17502.5775,1658.139002,16399.17774,1738.169707,17799.19169
528,528,merkaz,10570.08761,0,10150.82547,0,10640.75889,0
529,529,merkaz,14335.8169,22583.93165,13767.18725,21160.1925,14431.66573,22966.65897
530,530,merkaz,33040.05116,111647.1867,31729.51875,104608.7103,33260.95594,113539.2589
531,531,merkaz,9144.428684,60514.30852,8781.715258,56699.35764,9205.568057,61539.83762
532,532,merkaz,16066.39046,50003.01128,15429.11768,46850.71496,16173.80986,50850.40662
533,533,merkaz,7187.008611,29957.92844,6901.936179,28069.31683,7235.060733,30465.62205
534,534,merkaz,11437.51028,31666.74555,10983.84185,29670.40647,11513.98112,32203.39828
535,535,merkaz,12949.31694,0,12435.68277,0,13035.89569,0
536,536,merkaz,10222.97508,54210.4554,9817.481145,50792.91284,10291.32558,55129.15382
537,537,merkaz,4701.563588,8155.274795,4515.076242,7641.148904,4732.9981,8293.481309
538,538,merkaz,19589.11949,4982.627912,18812.11779,4668.512438,19720.09175,5067.067941
539,539,merkaz,5791.633744,16933.37808,5561.908805,15865.86186,5830.356432,17220.34611
540,540,merkaz,1211.253964,5952.826498,1163.20962,5577.547638,1219.352371,6053.708372
541,541,merkaz,3051.308801,16365.3975,2930.27875,15333.68799,3071.70976,16642.74003
543,543,merkaz,304.314364,0,292.243746,0,306.349001,0
544,544,merkaz,3536.24182,19318.65274,3395.976918,18100.76373,3559.885026,19646.04375
545,545,merkaz,2566.92013,10735.56425,2465.103338,10058.77142,2584.082481,10917.49864
546,546,merkaz,1884.174797,13544.99608,1809.439073,12691.09069,1896.772333,13774.54159
547,547,merkaz,474.237877,30160.25629,455.427249,28258.8895,477.408617,30671.37872
548,548,darom,21854.194,0,21854.194,0,21854.194,0
550,550,darom,16899.33544,99430.85024,16899.33544,99430.85024,16899.33544,99430.85024
551,551,merkaz,1121.499116,7191.170421,1077.014895,6737.823724,1128.997425,7313.038369
552,552,merkaz,9028.06682,44580.38124,8669.968882,41769.93907,9088.428201,45335.87989
553,553,merkaz,3363.363377,17086.95223,3229.955693,16009.75437,3385.850723,17376.52286
555,555,merkaz,8848.259368,34011.79841,8497.293486,31867.62221,8907.418562,34588.19249
556,556,merkaz,8265.939704,29832.38767,7938.071511,27951.69042,8321.205527,30337.95375
557,557,merkaz,805.238333,14109.32014,773.298585,13219.83855,810.622132,14348.42918
558,558,merkaz,2977.296459,3936.861095,2859.202105,3688.672988,2997.202573,4003.578632
560,560,merkaz,16639.09296,28807.34117,15979.10395,26991.26504,16750.34143,29295.53591
561,561,merkaz,15688.45082,57731.69122,15066.169,54092.16246,15793.34333,58710.06362
562,562,merkaz,12262.61307,45650.52491,11776.21697,42772.6186,12344.60053,46424.15916
701,701,jerusalem,38530.81701,2871.413023,38429.0779,2847.123843,38549.04991,2875.765943
702,702,jerusalem,17559.12215,37951.60977,17512.75798,37630.57846,17567.43118,38009.14252
703,703,jerusalem,16973.0302,134.564246,16928.21358,133.425972,16981.06189,134.768239
704,704,jerusalem,9613.633872,2207.206353,9588.24945,2188.535673,9618.183073,2210.552368
705,705,jerusalem,12394.10295,59909.19911,12361.37681,59402.42934,12399.96788,60000.01848
706,706,jerusalem,9047.810371,1579.169608,9023.919983,1565.811468,9052.091822,1581.56355
707,707,jerusalem,2000.655627,6346.822309,1995.372975,6293.134766,2001.602344,6356.443776
708,708,jerusalem,12276.76246,0,12244.34615,0,12282.57186,0
709,709,jerusalem,3468.469477,8398.84103,3459.311119,8327.795534,3470.110767,8411.573255
710,710,jerusalem,25489.23333,21937.67633,25421.93001,21752.10631,25501.29491,21970.93276
711,711,jerusalem,4627.168857,21229.18732,4614.950999,21049.61039,4629.358447,21261.36972
712,712,jerusalem,5690.250316,19608.09969,5675.225434,19442.23547,5692.942959,19637.82459
713,713,jerusalem,3272.342683,12239.30724,3263.702191,12135.77538,3273.891166,12257.86143
714,714,jerusalem,3088.171714,13412.32898,3080.017518,13298.87457,3089.633046,13432.6614
715,715,jerusalem,1587.590115,26640.73419,1583.398146,26415.38117,1588.341367,26681.12022
716,716,jerusalem,1187.404222,1469.128144,1184.268928,1456.700841,1187.966106,1471.355269
717,717,jerusalem,817.66388,38543.42472,815.50487,38217.38727,818.050801,38601.85464
718,718,jerusalem,388.88132,0,387.854494,0,389.06534,0
719,719,jerusalem,7350.003242,45538.06457,7330.595847,45152.85971,7353.481285,45607.09801
720,720,jerusalem,17743.27542,81849.53709,17696.425,81157.17478,17751.6716,81973.61692
721,721,jerusalem,18855.81523,11216.35679,18806.02719,11121.47803,18864.73786,11233.36023
722,722,jerusalem,34319.47623,1163.003246,34228.857,1153.165443,34335.7163,1164.766301
723,723,jerusalem,74.631122,38655.67178,74.434062,38328.68484,74.666438,38714.27186
724,724,jerusalem,4797.834463,11489.16458,4785.16597,11391.97815,4800.104813,11506.58158
725,725,jerusalem,32387.32303,2805.640491,32301.80557,2781.907678,32402.64881,2809.893703
726,726,jerusalem,4851.026091,14609.59301,4838.217147,14486.01098,4853.321611,14631.74043
727,727,jerusalem,936.431382,10682.14118,933.958772,10591.78133,936.874504,10698.33478
728,728,jerusalem,3027.926401,11273.78147,3019.93128,11178.41696,3029.359225,11290.87197
729,729,jerusalem,12127.42161,53580.92455,12095.39963,53127.68542,12133.16034,53662.15057
730,730,jerusalem,12127.42281,41927.1739,12095.40082,41572.51343,12133.16154,41990.73341
731,731,jerusalem,24909.23877,103157.4426,24843.46691,102284.8375,24921.0259,103313.8241
732,732,jerusalem,23477.8949,92748.00314,23415.90244,91963.4511,23489.00471,92888.60451
733,733,jerusalem,23477.88734,144913.4542,23415.8949,143687.6365,23488.99715,145133.1358
734,734,jerusalem,18855.81331,33757.31256,18806.02528,33471.76066,18864.73594,33808.48697
735,735,jerusalem,62111.07089,229635.7401,61947.06905,227693.2596,62140.46203,229983.8565
736,736,jerusalem,411.575206,50.861135,410.488458,50.430903,411.769964,50.938238
737,737,jerusalem,5432.053792,45854.15789,5417.710667,45466.27921,5434.624256,45923.67052
738,738,jerusalem,828.856639,15313.59405,826.668075,15184.0569,829.248856,15336.80869
739,739,jerusalem,1826.008883,14425.00365,1821.187379,14302.98306,1826.872956,14446.87124
740,740,jerusalem,33001.65682,2172.103391,32914.51724,2153.729646,33017.2733,2175.396192
801,801,shomron,970.065538,9599.157576,970.065538,9599.157576,970.065538,9599.157576
802,802,shomron,1922.361891,5759.494551,1922.361891,5759.494551,1922.361891,5759.494551
803,803,shomron,1629.322919,15358.65213,1629.322919,15358.65213,1629.322919,15358.65213
805,805,shomron,8910.340253,83992.62882,8910.340253,83992.62882,8910.340253,83992.62882
806,806,shomron,22907.87005,79307.70654,22907.87005,79307.70654,22907.87005,79307.70654
807,807,shomron,19792.95548,137350.2254,19792.95548,137350.2254,19792.95548,137350.2254
809,809,jerusalem,16067.15774,168070.5501,16067.15774,168070.5501,16067.15774,168070.5501
902,902,zafon,2320.003953,3633.947555,2260.365895,3537.867884,2328.63782,3671.254647
970920,970920,merkaz,2567.528893,10087.59501,2465.687954,9451.651542,2584.695314,10258.54834
971246,971246,zafon,3884.100519,12272.62276,3784.25577,11948.14104,3898.555152,12398.61684
971247,971247,zafon,2865.724047,3245.552009,2792.0577,3159.741313,2876.388805,3278.871727
971248,971248,zafon,4077.749585,9420.324936,3972.92689,9171.256475,4092.924881,9517.036547
971249,971249,zafon,3752.385076,17365.90502,3655.926206,16906.75958,3766.349532,17544.18811
971250,971250,zafon,2167.215687,3671.482549,2111.505206,3574.410472,2175.280954,3709.174985
971251,971251,zafon,3363.186864,7387.158925,3276.73273,7191.846309,3375.702924,7462.997502
971252,971252,zafon,889.634067,4443.89027,866.76512,4326.396137,892.944829,4489.512453
971253,971253,zafon,10664.7397,18808.61401,10390.59173,18311.3241,10704.4284,19001.70835
971254,971254,zafon,874.733824,2077.78292,852.247902,2022.847427,877.989135,2099.114003
971255,971255,zafon,3595.836885,14209.61864,3503.402246,13833.92376,3609.218749,14355.49844
971256,971256,zafon,5886.891603,4216.375051,5735.563075,4104.896301,5908.799599,4259.661501
971257,971257,zafon,1540.137836,9871.979573,1500.547028,9610.969601,1545.86944,9973.327994
971258,971258,zafon,4157.836819,4553.694389,4050.9554,4433.297093,4173.310159,4600.443851
971259,971259,zafon,7770.323249,9487.16505,7570.579198,9236.329371,7799.240414,9584.56286
971260,971260,zafon,1675.149453,11427.60473,1632.088035,11125.46484,1681.383501,11544.92362
971261,971261,zafon,5451.311337,13714.6874,5311.179843,13352.07824,5471.598327,13855.4861
971262,971262,zafon,3737.592579,17070.84771,3641.513965,16619.50343,3751.501985,17246.10167
971263,971263,zafon,7142.004647,13249.70757,6958.412164,12899.39224,7168.583532,13385.73266
971264,971264,zafon,5670.454738,22505.4154,5524.68994,21910.384,5691.557268,22736.4621
971265,971265,zafon,2249.480908,3865.84212,2191.655717,3763.631278,2257.852325,3905.529904
971266,971266,zafon,2570.708964,8522.095565,2504.626279,8296.775818,2580.275827,8609.585709
971267,971267,zafon,4665.981509,14324.45114,4546.037715,13945.72015,4683.345903,14471.50984
