TAZ,Agg_taz_nu,super_taz,שם איזור 2020,similar,sector,in_jerusalem_metropolin,jerusalem district,in jerusalem,city,hh2015,newhh1520,newhh2025,newhh2530,newhh3035,newhh3540,newhh1540,hh20,hh25,hh30,hh35,hh40,pop15,pop20,pop25,pop30,pop35,pop40,hhsize15,hhsize20,hhsize25,hhsize30,hhsize35,hhsize40,emp2hh,empd15,empd20,empd25,empd30,empd35,empd40,empi15,empi20,empi25,empi30,empi35,empi40,empe15,empe20,empe25,empe30,empe35,empe40,emp15,emp20,emp25,emp30,emp35,emp40,school16,school20,school25,school30,school35,school40,yeshiva15,yeshiva20,yeshiva25,yeshiva30,yeshiva35,yeshiva40,college15,college20,college25,college30,college35,college40,ind30,htl30,bsn30,pub30,edu30,agr30,ind40,htl40,bsn40,pub40,edu40,agr40,InJerDistrict
8603,860,86,מודיעין הפרחים מזרח,,Jewish,yes,other,no,מודיעין,1270.5,0,0,0,0,0,0,1270.5,1270.5,1270.5,1270.5,1270.5,4438.673208,4477.025212,4477.813823,4448.79467,4406.661817,4339.54481,3.493642824,3.523829368,3.524450077,3.501609342,3.468446924,3.415619685,,,,,,,,,,,,,,,,,,,,475.06,476.2105601,476.2342184,475.3636438,474.0996583,472.086148,1516,1516,1516,1516,1516,1516,0,0,0,0,0,0,,,,,,,0,95.07272877,47.53636438,47.53636438,285.2181863,0,0,94.41722961,47.2086148,47.2086148,283.2516888,0,0
8604,860,86,מודיעין הנחלים מזרח,,Jewish,yes,other,no,מודיעין,931.5789474,0,0,0,0,0,0,931.5789474,931.5789474,931.5789474,931.5789474,931.5789474,3275.282618,3286.894372,3268.20747,3214.685115,3178.306854,3128.911666,3.515840098,3.528304693,3.508245306,3.450791931,3.411741821,3.358718737,,,,,,,,,,,,,,,,,,,,383.185,397.0499325,398.2524237,395.5602348,393.0091672,388.2494064,521,723.7486986,750.1951727,733.897399,712.0016023,662.8330244,0,0,0,0,0,0,,,,,,,0,96.50859698,57.90515819,77.20687759,163.9396021,0,0,94.72490455,56.83494273,75.77992364,160.9096355,0,0
8605,860,86,מודיעין הנחלים מערב,,Jewish,yes,other,no,מודיעין,1855.555556,0,0,0,0,0,0,1855.555556,1855.555556,1855.555556,1855.555556,1855.555556,6752.762307,6758.170733,6730.043863,6665.314828,6572.954727,6477.992275,3.639213219,3.64212794,3.626969747,3.592085835,3.542310931,3.491133561,,,,,,,,,,,,,,,,,,,,737.255,737.4172528,736.5734467,734.6315756,731.8607726,729.011899,1854,1854,1854,1854,1854,1854,0,0,0,0,0,0,,,,,,,0,183.6578939,36.73157878,146.9263151,367.3157878,0,0,182.2529748,36.45059495,145.8023798,364.5059495,0,0
8606,860,86,מודיעין משואה מזרח,,Jewish,yes,other,no,מודיעין,1257.5,0,0,0,0,0,0,1257.5,1257.5,1257.5,1257.5,1257.5,4854.189155,4966.939359,5021.755289,5020.402638,4964.834784,4897.304214,3.860190183,3.949852373,3.99344357,3.992367903,3.948178755,3.894476512,,,,,,,,,,,,,,,,,,,,531.04,534.4225061,536.066984,536.0264045,534.3593689,532.3334518,1067,1067,1067,1067,1067,1067,0,0,0,0,0,0,,,,,,,0,80.40396067,26.80132022,26.80132022,402.0198034,0,0,79.85001776,26.61667259,26.61667259,399.2500888,0,0
8611,861,86,מודיעין הכרמים,,Jewish,yes,other,no,מודיעין,2546.85514,0,171,0,0,0,171,2546.85514,2717.85514,2717.85514,2717.85514,2717.85514,8357.1958,8795.527689,9487.48462,9689.016358,9728.535871,9642.621063,3.28137854,3.453485654,3.490798491,3.564949513,3.579490212,3.547878959,,,,,,,,,,,,,,,,,,,,366.1,379.2499567,400.0086646,406.0546167,407.2402021,404.6627579,2124,2124,2124,2124,2124,2124,0,0,0,0,0,0,,,,,,,0,81.21092334,40.60546167,40.60546167,243.63277,0,0,80.93255158,40.46627579,40.46627579,242.7976547,0,0
8612,861,86,מודיעין הנביאים,,Jewish,yes,other,no,מודיעין,2063.793103,0,1257.6,0,0,0,1257.6,2063.793103,3321.393103,3321.393103,3321.393103,3321.393103,6937.02666,7073.072611,9956.694109,10097.96908,10107.264,10053.26193,3.361299468,3.427219811,2.997746367,3.04028122,3.043079721,3.02682086,,,,,,,,,,,,,,,,,,,,488.46,492.5413785,629.0756696,616.0716468,614.2386307,595.8000748,2136.5,2136.5,2886.884692,2628.250614,2596.572657,2344.295251,118,118,118,118,118,118,,,,,,,0,119.8162686,59.90813428,59.90813428,376.4391097,0,0,115.8737659,57.93688295,57.93688295,364.052543,0,0
8613,861,86,מודיעין המזינים,,Jewish,yes,other,no,מודיעין,2402.595506,0,0,0,0,0,0,2402.595506,2402.595506,2402.595506,2402.595506,2402.595506,10169.4783,10383.15595,10526.09927,10530.3202,10444.20183,10334.01361,4.232705122,4.321641294,4.381136668,4.382893489,4.347049599,4.301187439,,,,,,,,,,,,,,,,,,,,766.465,772.8753294,777.1636289,777.2902569,774.7067058,771.4010592,3557,3557,3557,3557,3557,3557,0,0,0,0,0,0,,,,,,,0,116.5935385,38.86451284,38.86451284,582.9676927,0,0,115.7101589,38.57005296,38.57005296,578.5507944,0,0
8614,861,86,מודיעין אבני חן מערב,8611,Jewish,yes,other,no,מודיעין,0,,,1000,2867,0,3867,0,0,1000,3867,3867,0,0,0,3190.729247,12955.4775,13603.25138,,,,3.190729247,3.35026571,3.517778995,5,0,0,0,200,773.4,773.4,,,,,,,0,0,0,70.19604344,285.020505,299.2715303,0,0,0,270.1960434,1058.420505,1072.67153,,,0,1052.940652,4275.307575,4489.072954,0,0,0,0,0,0,,,,,,,0,60.05881303,60.05881303,80.07841738,70,0,0,231.9418972,231.9418972,309.2558629,299.8603428,0,0
8615,861,86,מודיעין - אזור תעסוקה,,Jewish,yes,other,,מודיעין,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
8621,862,86,מודיעין משואה מערב,,Jewish,yes,other,no,מודיעין,1212.255319,0,0,0,0,0,0,1212.255319,1212.255319,1212.255319,1212.255319,1212.255319,5124.521095,5265.936575,5350.341655,5351.385154,5319.961197,5274.676658,4.227262206,4.343917071,4.413543559,4.414404349,4.388482453,4.351126841,,,,,,,,,,,,,,,,,,,,234.28,238.5224644,241.0546168,241.0859218,240.143203,238.7846669,3878,3878,3878,3878,3878,3878,26,26,26,26,26,26,,,,,,,0,24.10859218,36.16288826,36.16288826,144.6515531,0,0,23.87846669,35.81770003,35.81770003,143.2708001,0,0
