scenario,year,taz,pop,hh,hhsize,empd,empi,empe,emp,school,yeshiva,college,ind,htl,bsn,pub,edu,agr,
base,2015,3705,2564.527863,782.95,3.297721213,,,,285.797,612,0,,,,,,,,
base,2015,3706,1539.684784,533.3333333,2.88690897,,,,190.567,101,0,,,,,,,,
base,2015,3707,1741.158602,519.7039638,3.350289248,,,,214.3424,92,95,,,,,,,,
base,2015,3708,1640.347658,488.521726,3.357778314,,,,229.3224,734,0,,,,,,,,
base,2015,3709,1269,423,2.988779503,,,,50,,,,,,,,,,
base,2015,3801,1560.845972,870.2103831,1.793642092,,,,296.4542,41,0,,,,,,,,
base,2015,3802,2575.542693,1143.5625,2.25220982,,,,384.3333,353,0,,,,,,,,
base,2015,3803,1055.836739,471.9257479,2.2372942,,,,475.84505,1109,0,,,,,,,,
base,2015,3804,2596.126475,998.0230769,2.601268983,,,,298.489875,348,44,,,,,,,,
base,2015,3805,1044.041761,450.9611111,2.349093963,,,,349.1838,251,0,,,,,,,,
base,2015,3806,1313.264264,392.1402636,3.348965628,,,,138.2868,113,0,,,,,,,,
base,2015,3807,1286.910179,555.9429747,2.333008857,,,,842.973285,664,0,,,,,,,,
base,2015,3808,2437.899151,1076.316667,2.26503893,,,,349.1838,128,0,,,,,,,,
base,2015,3809,1844.332596,943.6666667,1.954432281,,,,159.6333,,0,,,,,,,,
base,2015,3901,490.5763388,202.7841495,2.419204558,,,,455.1994,133,0,,,,,,,,
base,2015,3902,0,0,,,,,584.2628,,0,,,,,,,,
base,2015,3903,1508.308767,616.5849851,2.446230127,,,,259.475,81,0,,,,,,,,
base,2015,3904,0,0,,,,,518.95,,170,,,,,,,,
base,2015,3905,1325.922657,490.8812074,2.701106983,,,,286.9419,,60,,,,,,,,
base,2015,3906,1485.295689,487.4288279,3.047205262,,,,504.064374,457,0,1129,,,,,,,
base,2015,3907,1234.603645,385.7142857,3.200824266,,,,345.717,1095,0,,,,,,,,
base,2015,3908,1603.206563,625,2.565130501,,,,230.478,715,0,,,,,,,,
base,2015,3909,1412.584268,522.9649464,2.701106983,,,,274.527225,,0,,,,,,,,
base,2015,3910,2289.444497,589.5789474,3.883185632,,,,298.906212,82,0,,,,,,,,
base,2015,3911,1881.771843,888.9605347,2.116822704,,,,979.5315,76,138,,,,,,,,
base,2015,3912,1056.137582,391.6970706,2.69631218,,,,559.02792,936,0,,,,,,,,
base,2015,3913,554.9286807,208.068427,2.667048954,,,,539.897925,1300,0,,,,,,,,
base,2015,4001,1949.936008,551.0204082,3.538772754,,,,295.6624,643,83,,,,,,,,
base,2015,4002,3670.361039,972.0535946,3.775883408,,,,155.9953,754,1038,,,,,,,,
base,2015,4003,857.106179,231.6818182,3.699496947,,,,161.1527,488,0,,,,,,,,
base,2015,4004,0,0,,,,,368.936,661,326,,,,,,,,
base,2015,4005,2273.316978,494.3429672,4.598663537,,,,461.17,2374,952,,,,,,,,
base,2015,4006,0,0,,,,,737.872,2928,137,,,,,,,,
base,2015,4007,1230.836001,280,4.395842862,,,,276.702,1141,88,,,,,,,,
base,2015,4008,0,0,,,,,0,,0,,,,,,,,
base,2015,4009,0,0,,,,,683.3662,,0,,,,,,,,
base,2015,4010,3821.900449,1035.116157,3.719733661,,,,344.2297,179,36,,,,,,,,
base,2015,4011,3057,705.9591837,4.379912281,,,,1479.6709,869,1582,,,,,,,,
base,2015,4101,5774.965958,1532.013684,3.769526354,,,,1039.9972,2065,935,,,,,,,,
base,2015,4102,0,0,,,,,0,,0,,,,,,,,
base,2015,4103,0,0,,,,,1091.9992,985,80,5185,,,,,,,
base,2015,4104,1795.96732,484.7457627,3.704967547,,,,312.0013,255,14,,,,,,,,
base,2015,4105,7.261620093,0,,,,,4037.9767,62,54,,,,,,,,
base,2015,4201,3481.075683,1267.314286,2.746813259,,,,432.8471,568,0,,,,,,,,
base,2015,4202,2440.523733,1000.388345,2.439576336,,,,308.296425,324,20,,,,,,,,
base,2015,4301,0,0,,,,,579.5548,,0,,,,,,,,
base,2015,4302,0,0,,,,,3725.6972,,0,,,,,,,,
base,2015,4303,0,0,,,,,2700,,0,1200,,,,,,,
base,2015,4304,0,0,,,,,248.3791,,0,,,,,,,,
base,2015,4305,0,0,,,,,413.9616,,0,,,,,,,,
base,2015,4401,1787.430801,648,2.758380866,,,,139.4424,85,0,,,,,,,,
base,2015,4402,2330.410158,899.023492,2.592157133,,,,167.0377,619,0,,,,,,,,
base,2015,4403,3000.716399,855.3361398,3.508230577,,,,299.2897,69,142,,,,,,,,
base,2015,4404,726.8114607,193,3.765862491,,,,127.4584,,159,,,,,,,,
base,2015,4405,1415,400,3.5375,,,,68.6298,,0,,,,,,,,
base,2015,4406,3137.766572,820.5781962,3.823848338,,,,309.17115,859,74,,,,,,,,
base,2015,4407,1039.736295,271.7218038,3.826473549,,,,274.8188,88,0,,,,,,,,
base,2015,4501,1849.759173,625.9044,2.955338184,,,,300.057318,129,0,,,,,,,,
base,2015,4502,3837.106367,1150,3.336614233,,,,691.4019,663,66,,,,,,,,
base,2015,4503,2858.394192,1278.0625,2.236505798,,,,570.8343,563,0,,,,,,,,
base,2015,4504,4620,1650,2.8,,,,209.1636,371,0,,,,,,,,
base,2015,4505,1967.533275,729.5281405,2.696994353,,,,465.5677,,0,,,,,,,,
base,2015,4506,3838.5,1279.5,3,,,,287.5946,159.5,385,,,,,,,,
base,2015,4507,1370.703987,569.3637931,2.407430897,,,,584.2628,439.5,0,,,,,,,,
base,2015,4508,5110,1460,3.5,,,,428,610,47,,,,,,,,
base,2015,4601,3754.819868,1268.55007,2.959930362,,,,192.6,495,0,,,,,,,,
base,2015,4602,0,0,,,,,0,,0,,,,,,,,
base,2015,4603,4477.842895,970.6259361,4.613355906,,,,355.13835,634,0,,,,,,,,
base,2015,4604,1949.482757,559.1185724,3.486707208,,,,171.2,22,0,,,,,,,,
base,2015,4605,4303.866699,1644.651163,2.616887275,,,,267.5,840,124,,,,,,,,
base,2015,4606,0,0,,,,,184.468,,0,,,,,,,,
base,2015,4607,1361.110956,411.4285714,3.308255796,,,,485.138,814,0,,,,,,,,
base,2015,4701,1129,309,3.653721683,,,,276.6806,41,0,,,,,,,,
base,2015,4702,1416,419,3.37947494,,,,621.2206,45,0,,,,,,,,
base,2015,4703,0,0,,,,,258.405,,0,,,,,,,,
base,2015,4704,0,0,,,,,58.101,,0,,,,,,,,
base,2015,4705,0,0,,,,,0,,0,,,,,,,,
base,2015,4706,0,0,,,,,0,,0,,,,,,,,
base,2015,4707,0,0,,,,,0,,0,,,,,,,,
base,2015,4708,0,0,,,,,0,,0,,,,,,,,
base,2015,4709,913,275,3.32,,,,288.0975,17,0,,,,,,,,
base,2015,4712,,,,,,,,,,,,,,,,,
base,2015,4713,,,,,,,,,,,,,,,,,
base,2015,4714,,,,,,,,,,,,,,,,,
base,2015,4715,,,,,,,1100,,,,,,,,,,
base,2015,4716,,,,,,,5000,,,3528,,,,,,,
base,2015,4717,,320,2.5,,,,,,,,,,,,,,
base,2015,4718,,,,,,,,,,,,,,,,,
base,2015,4801,0,0,,,,,0,,0,,,,,,,,
base,2015,4802,0,0,,,,,143.5619,1238,0,,,,,,,,
base,2015,4803,0,0,,,,,0,,0,,,,,,,,
base,2015,4804,0,0,,,,,0,,0,,,,,,,,
base,2015,4805,0,0,,,,,0,,0,,,,,,,,
base,2015,4901,2625.520504,1045.838244,2.510446064,,,,125.6073,,0,,,,,,,,
base,2015,4902,1491.636693,594.0794571,2.510837019,,,,251.93685,277,0,,,,,,,,
base,2015,4903,3882.982115,1304.608956,2.976357089,,,,288.0975,113,0,1570,,,,,,,
base,2015,4904,1567.533253,526.6616893,2.976357089,,,,562.1245,1024,0,,,,,,,,
base,2015,4905,4605.727164,2116.227273,2.176385884,,,,581.01,882,0,,,,,,,,
base,2015,4906,2450.401738,968,2.531406754,,,,1525.5739,1022,179,1595,,,,,,,
base,2015,4907,606.6683363,239.8650124,2.529207283,,,,169.5094,,0,,,,,,,,
base,2015,5001,0,0,,,,,9957.8052,,0,,,,,,,,
base,2015,5002,0,0,,,,,3259.0809,,0,,,,,,,,
base,2015,5003,0,0,,,,,0,,0,,,,,,,,
base,2015,5004,0,0,,,,,57.6195,,0,,,,,,,,
base,2015,5101,2372.913896,607.8407953,3.903841128,,,,199.5764,124,79,,,,,,,,
base,2015,5102,1770.256793,420,4.214897127,,,,168.0863,755,0,,,,,,,,
base,2015,5103,4357.905095,862.375,5.053375962,,,,300.4774,200,37,,,,,,,,
base,2015,5104,5277.863112,852.9605703,6.187698817,,,,428.366796,194,1012,,,,,,,,
base,2015,5105,4487.622452,722.2046669,6.213782129,,,,548.1503,5155,831,,,,,,,,
base,2015,5106,1630.711899,417.7227197,3.903814234,,,,133.0545,152,109,,,,,,,,
base,2015,5107,1900,465.2048217,4.0842225,,,,1484.328075,886,0,,,,,,,,
base,2015,5108,1700.281486,479.0916667,3.57953997,,,,219.8957,85,0,,,,,,,,
base,2015,5109,0,0,,,,,0,,0,,,,,,,,
base,2015,5110,5.52012984,0,,,,,691.434,1486,0,,,,,,,,
base,2015,5111,1238.218978,297.4278626,4.227765688,,,,84.0378,22,137,,,,,,,,
base,2015,5112,0,0,,,,,0,,0,,,,,,,,
base,2015,5201,3999.896192,682.6154206,5.91417375,,,,604.2504,545,330,,,,,,,,
base,2015,5202,3761.702919,648.1505122,5.803749049,,,,641.3152,1617,350,,,,,,,,
base,2015,5203,4236.0491,674.8858673,6.276689594,,,,801.644,325,1063,,,,,,,,
base,2015,5204,72.53040457,16.56127672,4.379517702,,,,360.7398,,278,,,,,,,,
base,2015,5205,103.3879106,24.01385125,4.305344843,,,,740.719056,720,25,,,,,,,,
base,2015,5206,400.5919488,89.43089431,4.479346337,,,,1728.585,,73,,,,,,,,
base,2015,5207,437.5739226,101.9984857,4.290004106,,,,1094.7705,358,111,,,,,,,,
base,2015,5208,4589.108825,820.4938733,5.593105536,,,,864.2925,2690,247,,,,,,,,
base,2015,5209,3962.044434,753.9547707,5.255016067,,,,230.478,1833,1084,,,,,,,,
base,2015,5210,3852.508532,754.8485265,5.103684244,,,,756.7575,1077,844,,,,,,,,
base,2015,5211,2900,400.1428571,7.247411639,,,,465.5677,1793,982,,,,,,,,
base,2015,5212,4200,638.0545807,6.582508969,,,,1117.8183,4143,1730,,,,,,,,
base,2015,5213,4264.984375,793.7350455,5.373309896,,,,427.5399,1447,513,,,,,,,,
base,2015,5214,1520.239795,265.9090909,5.71714111,,,,906.3649,2927,1942,,,,,,,,
base,2015,5301,1242.622109,313.7931034,3.960004524,,,,345.11994,460,18,,,,,,,,
base,2015,5302,3426,750,4.568,,,,772.7326,1092,1014,,,,,,,,
base,2015,5303,4806,1566.785714,3.067426487,,,,532.40418,1023,369,,,,,,,,
base,2015,5304,1914,434.4827586,4.405238095,,,,348.606,2776,316,,,,,,,,
base,2015,5305,4607,960.0529899,4.798693456,,,,797.4496,2229,430,,,,,,,,
base,2015,5306,3308,740,4.47027027,,,,385.641375,179,0,,,,,,,,
base,2015,5307,0,0,,,,,14.5199,,0,,,,,,,,
base,2015,5401,0,0,,,,,3517.09,,0,,,,,,,,
base,2015,5402,0,0,,,,,1210.2128,144,0,,,,,,,,
base,2015,5403,0,0,,,,,4077.8663,140,0,,,,,,,,
base,2015,5404,0,0,,,,,2953.4247,211,0,,,,,,,,
base,2015,5405,0,0,,,,,2938.5945,,56,,,,,,,,
base,2015,5406,0,0,,,,,232.2328,,0,,,,,,,,
base,2015,5407,0,0,,,,,460.956,,0,,,,,,,,
base,2015,5408,0,0,,,,,1229.3979,1202,983,,,,,,,,
base,2015,5409,0,0,,,,,95.5082,,0,,,,,,,,
base,2015,5501,0,0,,,,,460.956,975,19,,,,,,,,
base,2015,5502,4608.186533,801.4558261,5.749769835,,,,580.8067,864,384,,,,,,,,
base,2015,5503,0,0,,,,,0,,0,,,,,,,,
base,2015,5504,2316.243722,639.75,3.620545091,,,,402.63993,1513,563,,,,,,,,
base,2015,5505,3213,790.6565333,4.06371144,,,,296.3151,125,455,,,,,,,,
base,2015,5506,6182.092143,1197.442623,5.162746026,,,,777.1624,2147,1228,,,,,,,,
base,2015,5601,0,0,,,,,11.5025,,0,,,,,,,,
base,2015,5602,0,0,,,,,92.0307,,0,,,,,,,,
base,2015,5603,0,0,,,,,0,,0,,,,,,,,
base,2015,5604,0,0,,,,,11.5025,,0,,,,,,,,
base,2015,5605,743.3783878,207.875,3.576083645,,,,46.0956,15,0,,,,,,,,
base,2015,5606,1637,463,3.535637149,,,,246.6671,72,0,,,,,,,,
base,2015,5701,1683.264037,384.5518846,4.377209174,,,,204.134172,202,0,,,,,,,,
base,2015,5702,844.815004,130.407767,6.478256806,,,,806.673,520,0,,,,,,,,
base,2015,5703,2434,596.8333425,4.078190387,,,,363.1259,755,0,,,,,,,,
base,2015,5704,1204.941638,351.5151515,3.427851213,,,,243.4678,,0,,,,,,,,
base,2015,5705,987.7511049,287.8787879,3.431135417,,,,243.4678,176,25,,,,,,,,
base,2015,5706,3285,813.1786575,4.039702678,,,,262.5245,309,28,,,,,,,,
base,2015,5707,3397.893805,770,4.412849098,,,,103.0945,412,122,,,,,,,,
base,2015,5708,4794,674.6428479,7.105982098,,,,291.8425,1491,213,,,,,,,,
base,2015,5801,5009.253729,830,6.035245456,,,,342.8708,1005,0,,,,,,,,
base,2015,5802,3472,604.5,5.743589744,,,,350.7995,143,0,,,,,,,,
base,2015,5803,0,0,,,,,0,,0,,,,,,,,
base,2015,5804,4693.62487,1176.083333,3.990894809,,,,312.2902,1064,0,,,,,,,,
base,2015,5805,2571.522952,446.1633057,5.763636137,,,,630.2407,2941,280,,,,,,,,
base,2015,5806,5291.89042,897.6271186,5.89542173,,,,525.5626,2534.5,2040,,,,,,,,
base,2015,5807,6236.47367,894.375,6.972996417,,,,896.5637,4345,762,,,,,,,,
base,2015,5901,5861,802.8681738,7.3,,,,288.45,1641,367,,,,,,,,
base,2015,5902,5757.068219,813.8621339,7.073763453,,,,465.2010524,3612,230,,,,,,,,
base,2015,5903,3575,550,6.5,,,,217.25625,1288,580,,,,,,,,
base,2015,5904,0,0,,,,,0,,0,,,,,,,,
base,2015,5905,0,0,,,,,0,,0,,,,,,,,
base,2015,5906,1752,290,6.04137931,,,,59.13,,181,,,,,,,,
base,2015,5907,0,0,,,,,0,,0,,,,,,,,
base,2015,6001,0,0,,,,,230.478,969,0,,,,,,,,
base,2015,6002,1179,229.7768763,5.131064619,,,,227.0219,977,0,,,,,,,,
base,2015,6003,2837.109412,770,3.684557677,,,,53.1576,518,0,,,,,,,,
base,2015,6004,0,0,,,,,921.912,,0,,,,,,,,
base,2015,6005,1026.390528,288.85,3.601370274,,,,187.8385,29,0,,,,,,,,
